product,subproduct,site,rows,n_samples,date_min,date_max,span_days,expected_samples,completeness_pct,mean_interval_h,median_interval_h,p95_interval_h,max_gap_days,notes
NephelProcd,DailyScaPM25,ZAPR,385,385.0,2019-04-03,2022-01-01,1004.0,1005.0,38.3,62.75,24.0,68.4,203.0,
NephelProcd,HourlyScaPM10,AEAZ,15729,15729.0,2019-11-25,2023-11-24,1459.7,35033.0,44.9,2.23,1.0,1.0,616.3,
NephelProcd,HourlyScaPM10,AUMN,15621,15621.0,2022-07-21,2024-06-24,704.1,16900.0,92.4,1.08,1.0,1.0,10.0,
NephelProcd,HourlyScaPM10,CADO,14400,14400.0,2017-07-10,2019-09-05,786.8,18883.0,76.3,1.31,1.0,1.0,51.2,
NephelProcd,HourlyScaPM10,CAHA,13644,13644.0,2017-04-13,2022-04-06,1819.0,43656.0,31.3,3.2,1.0,1.0,390.2,
NephelProcd,HourlyScaPM10,CAKE,2327,2327.0,2017-11-01,2019-11-14,742.9,17830.0,13.1,7.67,1.0,3.0,404.1,
NephelProcd,HourlyScaPM10,CALE,5449,5449.0,2017-08-30,2019-09-09,740.2,17767.0,30.7,3.26,1.0,10.0,37.1,
NephelProcd,HourlyScaPM10,CASH,46143,46143.0,2017-04-25,2024-11-25,2770.8,66501.0,69.4,1.44,1.0,1.0,85.9,
NephelProcd,HourlyScaPM10,CHTS,12224,12224.0,2019-04-23,2022-06-12,1146.5,27517.0,44.4,2.25,1.0,2.0,172.0,
NephelProcd,HourlyScaPM10,CODC,1086,1086.0,2019-10-08,2020-09-11,339.2,8142.0,13.3,7.5,3.0,3.0,151.8,
NephelProcd,HourlyScaPM10,ILNZ,12327,12327.0,2017-07-18,2025-02-13,2767.0,66408.0,18.6,5.39,1.0,1.0,867.0,
NephelProcd,HourlyScaPM10,INKA,5335,5335.0,2013-12-11,2020-01-13,2223.8,53371.0,10.0,10.01,1.0,1.0,1772.6,
NephelProcd,HourlyScaPM10,KRSE,1260,1260.0,2018-09-18,2021-04-27,951.8,22843.0,5.5,18.14,1.0,24.0,740.0,
NephelProcd,HourlyScaPM10,KRUL,7278,7278.0,2021-09-03,2023-01-06,489.9,11758.0,61.9,1.62,1.0,1.0,67.6,
NephelProcd,HourlyScaPM10,MXMC,12351,12351.0,2021-02-17,2023-08-07,900.8,21619.0,57.1,1.75,1.0,3.55,43.2,
NephelProcd,HourlyScaPM10,NGIL,8499,8499.0,2014-04-13,2020-12-29,2452.5,58862.0,14.4,6.93,1.0,1.0,1231.9,
NephelProcd,HourlyScaPM10,PHMO,18650,18650.0,2019-10-23,2023-05-02,1286.5,30878.0,60.4,1.66,1.0,1.0,126.9,
NephelProcd,HourlyScaPM10,SGSU,22990,22990.0,2015-07-10,2020-01-28,1663.1,39915.0,57.6,1.74,1.0,1.0,554.5,
