product,subproduct,parameter,AEAZ,ARCB,AUMN,BDDU,BIBU,CADO,CAHA,CAKE,CALE,CASH,CHTS,CLST,CLTA,ETAD,ETBI,IDBD,ILHA,ILNZ,INDH,INJA,INKA,KRSE,KRUL,MXMC,NGIL,PHMO,PRFJ,SGSU,TWKA,TWTA,USBO,USMC,USNO,USPA,VNHN,ZAJB,ZAPR,TOTAL_rows,n_sites
FilterBased,ChemSpecPM10,Sulfur PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Tin PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Titanium PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Vanadium PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Zinc PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM25,Aluminum PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,19.0,23.0,256.0,22.0,210.0,269.0,4023.0,37
FilterBased,ChemSpecPM25,Ammonium Ion PM2.5,160.0,43.0,55.0,115.0,37.0,70.0,173.0,18.0,0.0,105.0,406.0,247.0,103.0,268.0,27.0,108.0,204.0,308.0,146.0,79.0,40.0,83.0,151.0,56.0,60.0,12.0,55.0,50.0,182.0,273.0,11.0,0.0,34.0,314.0,22.0,234.0,294.0,4543.0,35
FilterBased,ChemSpecPM25,Antimony PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,2.0,0.0,23.0,256.0,22.0,210.0,269.0,3995.0,36
FilterBased,ChemSpecPM25,Arsenic PM2.5,141.0,43.0,63.0,105.0,37.0,70.0,129.0,18.0,21.0,93.0,351.0,163.0,80.0,246.0,34.0,106.0,178.0,276.0,110.0,47.0,39.0,83.0,130.0,59.0,62.0,12.0,55.0,44.0,160.0,258.0,11.0,16.0,23.0,256.0,22.0,210.0,269.0,4020.0,37
FilterBased,ChemSpecPM25,BC PM2.5,150.0,35.0,63.0,106.0,37.0,65.0,146.0,12.0,21.0,94.0,311.0,163.0,80.0,246.0,34.0,116.0,178.0,279.0,109.0,47.0,38.0,83.0,131.0,59.0,61.0,12.0,55.0,50.0,160.0,260.0,2.0,11.0,23.0,220.0,20.0,212.0,264.0,3953.0,37
