Site,Latitude,Longitude,Barcode,FilterId,SampleDate,FilterType,LotId,AnalysisDate,AnalysisTime,CalibrationSetId,DepositArea_cm2,Volume_m3,Parameter,MassLoading_ug,Concentration,MDL,Uncertainty,FilterComments,DataSource,Concentration_Units,MDL_Units,MassLoading_Units
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Manganese_PM2.5,,7.84,0.0074,0.0045,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Nickel_PM2.5,,-2.23,0.0068,0.0042,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_316,,,ChemSpec_Nitrate_Ion_PM2.5,,0.24,1.201635928,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_316,,,ChemSpec_Nitrite_Ion_PM2.5,,0.04,0.3049276266666667,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_218,,,ChemSpec_OC_PM2.5,,3.88,0.1149845375316277,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_218,,,ChemSpec_OC_PM2.5,,0.11,0.1149845375316277,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_218,,,ChemSpec_OM_PM2.5,,3.74,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_316,,,ChemSpec_Potassium_Ion_PM2.5,,0.22,0.30047124,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Potassium_PM2.5,,248.59,0.0424,0.0258,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Rubidium_PM2.5,,1.04,0.002,0.0012,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Selenium_PM2.5,,0.35,0.0005,0.0003,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Silicon_PM2.5,,1118.14,0.0536,0.0326,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_316,,,ChemSpec_Sodium_Ion_PM2.5,,0.12,0.4828359,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Sodium_PM2.5,,424.74,0.1638,0.0996,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Strontium_PM2.5,,1.64,0.0032,0.002,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_316,,,ChemSpec_Sulfate_Ion_PM2.5,,1.94,0.2256273493333333,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Sulfur_PM2.5,,762.54,0.0131,0.008,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Tin_PM2.5,,-3.67,0.0297,0.0181,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Titanium_PM2.5,,25.06,0.0032,0.002,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Vanadium_PM2.5,,0.89,0.0004,0.0002,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0017,2022-12-07,PM2.5,,,,ChemSpec_516,,,ChemSpec_Zinc_PM2.5,,5.46,0.01,0.0061,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,17,3.53,7.1136,EC_ftir,18.1194860157336,2.54716121453745,0.464676223281463,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_Fabs,,40.23772053,,,,HIPS,Mm-1,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_Intercept,,2262.0,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_MDL,,1.58794422,1.58794422,,,HIPS,Mm-1,Mm-1,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_R1,,226.0,,,,HIPS,K,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_Slope,,-5.32,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_T1,,471.0,,,,HIPS,K,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_Uncertainty,,2.512232196,,2.512232196,,HIPS,Mm-1,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_r,,0.53152962,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_t,,0.208222812,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-17,15:35:05,HIPS,3.53,7.1136,HIPS_tau,,0.810864161,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,18,3.53,7.1136,OC_ftir,27.5757004052122,3.87647610284697,0.847293749990233,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,PF,3.53,7.1136,OM,26.362944895481,3.70599202871696,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,PF,3.53,7.1136,alcoholCOH,11.6054268711546,1.63144214900396,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,PF,3.53,7.1136,alkaneCH,9.82495470925696,1.38115085319064,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,PF,3.53,7.1136,carboxylicCOOH,2.91255098927912,0.40943418090406,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248.0,2023-03-27,08:09:25,PF,3.53,7.1136,naCO,2.02001232579034,0.2839648456183,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Aluminum_PM2.5,,283.73,0.019,0.0115,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Ammonium_Ion_PM2.5,,0.47,0.3186,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Antimony_PM2.5,,2.13,0.0265,0.0161,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Arsenic_PM2.5,,0.84,0.0016,0.001,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_221,,,ChemSpec_BC_PM2.5,,4.55,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Cadmium_PM2.5,,-0.2,0.0092,0.0056,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Calcium_Ion_PM2.5,,0.2,1.8345081827999996,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Calcium_PM2.5,,315.43,0.0321,0.0195,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Cerium_PM2.5,,1.79,0.0011,0.0007,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Chlorine_PM2.5,,43.71,0.075,0.0456,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Chromium_PM2.5,,0.94,0.0037,0.0023,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Cobalt_PM2.5,,0.4,0.0007,0.0004,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Copper_PM2.5,,-5.56,0.0247,0.015,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_218,,,ChemSpec_EC_PM2.5,,2.78,0.0685971324149564,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_218,,,ChemSpec_EC_PM2.5,,0.07,0.0685971324149564,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_116,,,ChemSpec_Filter_PM2.5_mass,,15.39,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Iron_PM2.5,,248.74,0.016,0.0098,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Lead_PM2.5,,1.44,0.0029,0.0018,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Magnesium_Ion_PM2.5,,0.03,0.0611730133333333,,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Magnesium_PM2.5,,151.14,0.1634,0.0993,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Manganese_PM2.5,,7.24,0.0074,0.0045,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Nickel_PM2.5,,-1.89,0.0068,0.0042,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Nitrate_Ion_PM2.5,,0.2,1.201635928,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_218,,,ChemSpec_OC_PM2.5,,4.13,0.1149845375316277,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_218,,,ChemSpec_OC_PM2.5,,0.11,0.1149845375316277,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_218,,,ChemSpec_OM_PM2.5,,3.32,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Potassium_Ion_PM2.5,,0.22,0.30047124,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Potassium_PM2.5,,250.13,0.0424,0.0258,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Rubidium_PM2.5,,1.04,0.002,0.0012,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Selenium_PM2.5,,0.35,0.0005,0.0003,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Silicon_PM2.5,,979.48,0.0536,0.0326,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Sodium_Ion_PM2.5,,0.11,0.4828359,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Sodium_PM2.5,,290.32,0.1638,0.0996,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Strontium_PM2.5,,1.34,0.0032,0.002,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_316,,,ChemSpec_Sulfate_Ion_PM2.5,,1.53,0.2256273493333333,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Sulfur_PM2.5,,647.87,0.0131,0.008,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Tin_PM2.5,,-2.78,0.0297,0.0181,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Titanium_PM2.5,,22.58,0.0032,0.002,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Vanadium_PM2.5,,0.89,0.0004,0.0002,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0018,2022-12-10,PM2.5,,,,ChemSpec_516,,,ChemSpec_Zinc_PM2.5,,5.06,0.01,0.0061,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,17,3.53,7.1136,EC_ftir,19.8049703845221,2.7840995254895,0.464676223281463,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_Fabs,,45.51235837,,,,HIPS,Mm-1,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_Intercept,,2262.0,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_MDL,,1.58794422,1.58794422,,,HIPS,Mm-1,Mm-1,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_R1,,230.0,,,,HIPS,K,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_Slope,,-5.32,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_T1,,415.0,,,,HIPS,K,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_Uncertainty,,2.817728306,,2.817728306,,HIPS,Mm-1,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_r,,0.540937224,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_t,,0.183465959,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-17,15:35:12,HIPS,3.53,7.1136,HIPS_tau,,0.917157826,,,,HIPS,dimensionless,,
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,18,3.53,7.1136,OC_ftir,29.4108162743412,4.13444898143574,0.847293749990233,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,PF,3.53,7.1136,OM,23.4506971319099,3.29660047400893,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,PF,3.53,7.1136,alcoholCOH,8.57245194772304,1.20507927740146,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,PF,3.53,7.1136,alkaneCH,10.3991532546885,1.4618692721953,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,PF,3.53,7.1136,carboxylicCOOH,1.85880963072618,0.261303648044054,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248.0,2023-03-27,08:19:24,PF,3.53,7.1136,naCO,2.6202822987722,0.368348276368112,,,,FTIR,ug/m3,ug/m3,ug
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Aluminum_PM2.5,,408.6,0.019,0.0115,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_316,,,ChemSpec_Ammonium_Ion_PM2.5,,0.85,0.3186,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Antimony_PM2.5,,1.69,0.0265,0.0161,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Arsenic_PM2.5,,1.04,0.0016,0.001,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_221,,,ChemSpec_BC_PM2.5,,4.8,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Cadmium_PM2.5,,-3.37,0.0092,0.0056,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_316,,,ChemSpec_Calcium_Ion_PM2.5,,0.54,1.8345081827999996,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Calcium_PM2.5,,583.57,0.0321,0.0195,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Cerium_PM2.5,,1.79,0.0011,0.0007,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Chlorine_PM2.5,,32.15,0.075,0.0456,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Chromium_PM2.5,,1.44,0.0037,0.0023,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Cobalt_PM2.5,,0.69,0.0007,0.0004,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Copper_PM2.5,,-1.59,0.0247,0.015,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_218,,,ChemSpec_EC_PM2.5,,3.05,0.0685971324149564,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_218,,,ChemSpec_EC_PM2.5,,0.07,0.0685971324149564,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_116,,,ChemSpec_Filter_PM2.5_mass,,19.48,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Iron_PM2.5,,318.6,0.016,0.0098,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Lead_PM2.5,,1.94,0.0029,0.0018,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_316,,,ChemSpec_Magnesium_Ion_PM2.5,,0.04,0.0611730133333333,,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Magnesium_PM2.5,,235.94,0.1634,0.0993,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Manganese_PM2.5,,9.48,0.0074,0.0045,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Nickel_PM2.5,,-0.3,0.0068,0.0042,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_316,,,ChemSpec_Nitrate_Ion_PM2.5,,0.4,1.201635928,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_316,,,ChemSpec_Nitrite_Ion_PM2.5,,0.11,0.3049276266666667,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_218,,,ChemSpec_OC_PM2.5,,4.57,0.1149845375316277,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_218,,,ChemSpec_OC_PM2.5,,0.11,0.1149845375316277,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_218,,,ChemSpec_OM_PM2.5,,4.79,,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_316,,,ChemSpec_Potassium_Ion_PM2.5,,0.24,0.30047124,,SGP,ChemSpec,ug/m3,ug/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Potassium_PM2.5,,262.09,0.0424,0.0258,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Rubidium_PM2.5,,1.24,0.002,0.0012,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Selenium_PM2.5,,0.5,0.0005,0.0003,SGP,ChemSpec,ng/m3,ng/m3,
ETAD,9.0106,38.8207,,ETAD-0019,2022-12-13,PM2.5,,,,ChemSpec_516,,,ChemSpec_Silicon_PM2.5,,1441.42,0.0536,0.0326,SGP,ChemSpec,ng/m3,ng/m3,
