site,population,variant,scheme,ols_mean_signed_error,ols_mae,ols_rmse,median_mean_signed_error,median_mae,median_rmse,mae_improvement,mae_improvement_pct,evaluated_filters,evaluated_blocks,nonempty_blocks,unavailable_nonempty_blocks,improved_blocks,equal_block_mean_mae_improvement,worst_block_mae_improvement,best_block_mae_improvement
Addis_Ababa,mdl_1_5x,without_ETAD_0037,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,mdl_1_5x,without_ETAD_0037,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,mdl_2x,baseline,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,mdl_2x,baseline,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,mdl_2x,without_ETAD_0037,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,mdl_2x,without_ETAD_0037,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,mdl_3x,baseline,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,mdl_3x,baseline,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,mdl_3x,without_ETAD_0037,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,mdl_3x,without_ETAD_0037,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,mdl_5x,baseline,leave_quarter_out,0.07273951457922687,3.931454305254096,5.288443992297856,-1.8094946205464497,8.786184226393443,11.089583987185781,4.854729921139347,55.25413303486033,183,8,8,0,7,4.293402267015066,-1.3339431002097877,6.552682460159698
Addis_Ababa,mdl_5x,baseline,later_period,2.3076290961888715,4.295839711144108,5.710070871052272,-3.3742911096428574,9.141231214642856,11.618472097808803,4.845391503498748,53.005895920641095,154,6,8,2,6,5.002988378547676,2.7353929009376996,6.820523611728967
Addis_Ababa,mdl_5x,without_ETAD_0037,leave_quarter_out,0.07273951457922687,3.931454305254096,5.288443992297856,-1.8094946205464497,8.786184226393443,11.089583987185781,4.854729921139347,55.25413303486033,183,8,8,0,7,4.293402267015066,-1.3339431002097877,6.552682460159698
Addis_Ababa,mdl_5x,without_ETAD_0037,later_period,2.3076290961888715,4.295839711144108,5.710070871052272,-3.3742911096428574,9.141231214642856,11.618472097808803,4.845391503498748,53.005895920641095,154,6,8,2,6,5.002988378547676,2.7353929009376996,6.820523611728967
Beijing,diagnostic,baseline,leave_quarter_out,8.776543388235612e-06,3.56305449295314,5.1727414058907195,-1.336605791184049,5.63757116691411,7.5505557352234245,2.0745166739609706,36.79805739989475,163,9,9,0,7,1.733783919399564,-1.399020120161698,4.169542491492404
Beijing,diagnostic,baseline,later_period,0.9673034700718015,3.610006028685654,4.550533830476771,-1.0595507686742427,5.198384518749999,6.926078626032326,1.5883784900643452,30.55523277155122,132,7,9,2,6,1.5525487784829441,-1.25011356858352,4.605174102747894
Beijing,ratio_baseline,baseline,leave_quarter_out,0.00031364836985498337,2.988481366487058,4.073573437113216,-1.5308321280533332,5.350405114346666,7.223532448444416,2.3619237478596076,44.14476469316885,150,9,9,0,8,2.093545890775597,-1.1537211594719339,5.147973538829476
Beijing,ratio_baseline,baseline,later_period,0.3266792981650473,3.019982126796527,4.128559496093703,-1.280647750056,5.071965968184001,6.817971063571839,2.051983841387474,40.457366123104705,125,7,9,2,6,1.9618421221207645,-0.9798807042559541,5.2190757386289945
Beijing,mdl_1_5x,baseline,leave_quarter_out,-0.0001517942778975767,3.0574121894731716,4.204204483966952,-2.2413238655234378,5.220845767210937,7.197137234484088,2.1634335777377656,41.438373669741786,128,9,9,0,8,2.084569691480942,-1.0886980758068638,5.395143052403709
Beijing,mdl_1_5x,baseline,later_period,0.404050156404321,3.0896824061840884,4.262936842237461,-1.84017437885849,4.831104880669811,6.640065680515754,1.7414224744857223,36.046049868498855,106,7,9,2,6,1.8341444364216872,-1.1547142924081228,5.051772488864955
Beijing,mdl_2x,baseline,leave_quarter_out,0.021057800426174143,3.229341161952312,4.407235764569989,-1.9703843027345136,5.353091966734513,7.214946447147896,2.123750804782201,39.673348001112885,113,9,9,0,7,2.155794208638577,-0.5736795146051579,5.7271594887953725
Beijing,mdl_2x,baseline,later_period,0.5066901888521606,3.2874896951472112,4.475204374376562,-1.1904919385698924,4.9946822993870965,6.618739995347817,1.7071926042398853,34.18020410325952,93,7,9,2,5,1.8311633201066648,-0.46464909208505745,5.304969314287672
Beijing,mdl_3x,baseline,leave_quarter_out,-0.030850870573256934,3.9865178223557742,5.160681229378619,-1.6041028431805562,6.287091006263889,7.581421445693553,2.300573183908115,36.59201340677321,72,9,9,0,9,2.248141786265785,0.07405329075409028,5.307652688379903
Beijing,mdl_3x,baseline,later_period,1.080408971056981,4.3024551643793005,5.317570244534922,1.15680874959322,6.571603290949153,7.392992914782242,2.2691481265698528,34.529596905142974,59,7,9,2,7,2.2114654715838236,0.48983213508600887,4.032864125389004
