site,population,scheme,ftir_CalibrationSetId,n,reported_date_min,reported_date_max,ec_min,ec_max,mean_signed_error,mae,mdl_min,mdl_max
Addis_Ababa,mdl_5x,leave_quarter_out,17,28,2022-12-07,2023-03-22,2.31740999208569,5.1807562461787,-3.536337757188626,5.024814815817103,0.449217327399301,0.481741981744056
Addis_Ababa,mdl_5x,leave_quarter_out,11,155,2023-03-29,2024-09-21,2.23594182575397,11.7351130556244,0.7247018604469679,3.7339440194749725,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_5x,later_period,11,154,2023-04-01,2024-09-21,2.23594182575397,11.7351130556244,2.3076290961888715,4.295839711144108,0.404947794517731,1.43700224304556
Beijing,diagnostic,leave_quarter_out,17,20,2022-07-05,2023-04-09,0.0456965079264879,3.43490264120989,0.47239732045530197,2.662430376828683,0.459100108602086,0.46373748343645
Beijing,diagnostic,leave_quarter_out,11,143,2023-01-10,2024-12-08,-0.367697516444271,5.65963705476437,-0.06605955127645975,3.6890159077957208,0.409759055442694,1.37952215332374
Beijing,diagnostic,later_period,17,3,2023-04-03,2023-04-09,0.384014661386851,2.5564123917451,2.0858569998962033,3.856874264765961,0.459100108602086,0.46373748343645
Beijing,diagnostic,later_period,11,129,2023-04-13,2024-12-08,-0.007768843666344,4.1246073597929,0.9412905972851875,3.6042649069163444,0.409759055442694,1.37952215332374
Beijing,ratio_baseline,leave_quarter_out,17,18,2022-07-05,2023-04-09,0.571892948865549,3.43490264120989,-0.13280592895767182,2.353593894786361,0.459100108602086,0.46373748343645
Beijing,ratio_baseline,leave_quarter_out,11,132,2023-01-13,2024-12-08,0.435116265721739,5.65963705476437,0.01846631800542683,3.07505693080988,0.409759055442694,1.37952215332374
Beijing,ratio_baseline,later_period,17,2,2023-04-03,2023-04-09,1.52552927667091,2.5564123917451,-1.4882399635392298,1.4882399635392298,0.459100108602086,0.46373748343645
Beijing,ratio_baseline,later_period,11,123,2023-04-13,2024-12-08,0.435116265721739,4.1246073597929,0.356190180469182,3.044888503434857,0.409759055442694,1.37952215332374
Beijing,mdl_1_5x,leave_quarter_out,17,16,2022-07-05,2023-04-09,0.748811015052267,3.43490264120989,-0.15770482743790798,2.5156833919544717,0.459100108602086,0.46373748343645
Beijing,mdl_1_5x,leave_quarter_out,11,112,2023-01-13,2024-11-20,0.636482977090821,5.65963705476437,0.02235578188781822,3.1348020176901286,0.409759055442694,1.37952215332374
Beijing,mdl_1_5x,later_period,17,2,2023-04-03,2023-04-09,1.52552927667091,2.5564123917451,-1.2072796292562122,1.2072796292562122,0.459100108602086,0.46373748343645
Beijing,mdl_1_5x,later_period,11,104,2023-04-13,2024-11-20,0.636482977090821,4.1246073597929,0.4350372676670237,3.1258824595865473,0.409759055442694,1.37952215332374
