site,n,median,p25,p75,network,ratio
WHPE1,2205,11.936680327868851,8.13528921914035,16.94178974804518,IMPROVE,Fabs_EC
BRCA1,2349,11.947739384562489,8.510916887623164,16.40625,IMPROVE,Fabs_EC
OKEF1,2550,11.952750499589294,9.71290380217106,14.979097526928854,IMPROVE,Fabs_EC
GRSA1,2453,11.953057084902927,8.559498956158663,16.12903225806452,IMPROVE,Fabs_EC
STIL1,1692,11.986830639627513,9.999274375897121,14.46708619522372,IMPROVE,Fabs_EC
LYEB1,1422,12.009778483840197,9.513893119147852,15.241037610672842,IMPROVE,Fabs_EC
BALD1,2389,12.010569300984866,8.59106529209622,16.179001721170394,IMPROVE,Fabs_EC
WEMI1,2527,12.054120541205412,8.924745337440045,16.299081326085822,IMPROVE,Fabs_EC
MACA1,2582,12.062344798169073,10.096565772421908,14.265917968451305,IMPROVE,Fabs_EC
KAIS1,1984,12.073576786157439,8.667625011087296,16.12617418973763,IMPROVE,Fabs_EC
GAAR1,596,12.117304959596078,7.327802017023103,21.041846419327005,IMPROVE,Fabs_EC
BADL1,2564,12.129644961384553,8.860860845980975,16.001133120698338,IMPROVE,Fabs_EC
ELDO1,1483,12.145435791645179,9.891898416120057,14.616685116034947,IMPROVE,Fabs_EC
MOMO1,2581,12.168252378567853,9.985528219971057,14.895013123359579,IMPROVE,Fabs_EC
ELLI1,1451,12.1799844840962,9.641534393330897,15.354458783088027,IMPROVE,Fabs_EC
SIAN1,1239,12.182410423452769,9.500354532584748,15.380895700044636,IMPROVE,Fabs_EC
WHRI1,2434,12.224459773138536,8.37185065862439,17.861672177504957,IMPROVE,Fabs_EC
CRES1,1490,12.226226138285258,9.154653776715193,15.477353789026235,IMPROVE,Fabs_EC
SAPE1,2165,12.231126107127794,8.390267289943665,17.532467532467532,IMPROVE,Fabs_EC
MEVE1,2440,12.23463870227757,8.894272884992143,16.49905541561713,IMPROVE,Fabs_EC
ROMA1,2518,12.263007504647806,9.569657077637963,15.784916904454887,IMPROVE,Fabs_EC
MELA1,2400,12.295896334424732,9.190830020458456,15.769583719859892,IMPROVE,Fabs_EC
CAPI1,2379,12.297734627831716,8.720925820886116,16.74761225502357,IMPROVE,Fabs_EC
REDW1,2087,12.303664921465968,8.007992498835284,18.39286914864026,IMPROVE,Fabs_EC
WHIT1,2361,12.313104661389621,8.986013986013987,17.19544683942843,IMPROVE,Fabs_EC
NEBR1,2071,12.317880794701988,9.598990208078336,15.876422099598065,IMPROVE,Fabs_EC
SWAN1,2157,12.340842311459355,9.817269795772125,16.231498420089807,IMPROVE,Fabs_EC
FLTO1,983,12.343842950624628,8.598243668040912,18.108411826404314,IMPROVE,Fabs_EC
QURE1,1513,12.375533428165006,10.178117048346056,14.768552534900806,IMPROVE,Fabs_EC
CEBL1,2567,12.40981240981241,9.622120882935222,15.700926517020653,IMPROVE,Fabs_EC
LOST1,2446,12.415343955878232,9.825041443500222,15.396350922512958,IMPROVE,Fabs_EC
BLMO1,1451,12.418300653594772,10.071935769451567,14.80675683760487,IMPROVE,Fabs_EC
INGA1,1057,12.418300653594773,9.16030534351145,16.51439645625692,IMPROVE,Fabs_EC
DOME1,2257,12.433997615397718,9.268198493917744,15.596947935368041,IMPROVE,Fabs_EC
TALL1,2560,12.434016988711964,10.085408501083116,15.097257229397732,IMPROVE,Fabs_EC
PACK1,2016,12.465716913369487,9.838501109521214,15.369440230485832,IMPROVE,Fabs_EC
PRIS1,2570,12.47694624895636,10.176216759101806,15.082760666435952,IMPROVE,Fabs_EC
SAMA1,2364,12.48167068086287,9.9485726283821,16.167224507567724,IMPROVE,Fabs_EC
FRES1,2271,12.486486486486484,9.406219778119258,15.53236644838384,IMPROVE,Fabs_EC
LOND1,1629,12.507015152729897,10.520064477814541,14.55078125,IMPROVE,Fabs_EC
BRIS1,1733,12.595196250732277,10.206871411646771,16.079418344519016,IMPROVE,Fabs_EC
HALE1,971,12.612612612612612,8.339500162284972,18.836516791459708,IMPROVE,Fabs_EC
SNPA1,2425,12.61744966442953,9.452126728513916,16.33393829401089,IMPROVE,Fabs_EC
THRO1,2456,12.680300531658588,9.867133656002785,15.898519091362452,IMPROVE,Fabs_EC
GRCA2,2389,12.747875354107647,8.98876404494382,17.82178217821782,IMPROVE,Fabs_EC
PUSO1,2453,12.751330573625074,10.581627106359848,15.14591799039527,IMPROVE,Fabs_EC
THBA1,1606,12.811344396602465,10.220356231974465,15.840021749186436,IMPROVE,Fabs_EC
