site,population,scheme,evaluated_filters,evaluated_blocks,nonempty_blocks,unavailable_nonempty_blocks,intercept_better_blocks,largest_test_block,largest_test_block_n,largest_test_block_fraction,weighting,median_mean_signed_error,median_mae,median_rmse,median_nonpositive_prediction_n,proportional_mean_signed_error,proportional_mae,proportional_rmse,proportional_nonpositive_prediction_n,ols_mean_signed_error,ols_mae,ols_rmse,ols_nonpositive_prediction_n,delta_mae_proportional_minus_ols,intercept_mae_improvement_pct
Addis_Ababa,mdl_1_5x,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_filter,-4.029694431709678,9.300249946483872,11.938925808156071,0,4.207321154843431,13.052325494242124,17.213409142210345,0,2.4287412402933417,4.446121443281174,5.950749280395856,0,8.606204050960951,65.93617401556124
Addis_Ababa,mdl_1_5x,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_quarter,-4.5415445819980285,9.517991986735568,12.232637347368811,0,4.468740595096548,13.039492410553324,17.0878507923633,0,2.292725034556686,4.491333577285968,6.036022401971849,0,8.548158833267355,65.55591708730185
Addis_Ababa,mdl_2x,leave_quarter_out,189,8,8,0,8,2024Q1,31,0.164021164021164,equal_filter,-1.6405096646560868,8.876834325026456,11.181208082477426,0,-4.313818870352276,11.461974292530105,13.192287794546722,0,0.04188020559273178,3.9104029208882767,5.247044866550814,0,7.551571371641828,65.88368791372417
Addis_Ababa,mdl_2x,leave_quarter_out,189,8,8,0,8,2024Q1,31,0.164021164021164,equal_quarter,-1.6788499848624119,8.895797172933879,11.276769268535057,0,-5.038849677201975,12.194425595177117,13.942158446814895,0,-0.3379034278074253,4.150321993310376,5.553828982444005,0,8.044103601866741,65.96541623943465
Addis_Ababa,mdl_2x,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_filter,-4.029694431709678,9.300249946483872,11.938925808156071,0,4.207321154843431,13.052325494242124,17.213409142210345,0,2.4287412402933417,4.446121443281174,5.950749280395856,0,8.606204050960951,65.93617401556124
Addis_Ababa,mdl_2x,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_quarter,-4.5415445819980285,9.517991986735568,12.232637347368811,0,4.468740595096548,13.039492410553324,17.0878507923633,0,2.292725034556686,4.491333577285968,6.036022401971849,0,8.548158833267355,65.55591708730185
Addis_Ababa,mdl_3x,leave_quarter_out,189,8,8,0,8,2024Q1,31,0.164021164021164,equal_filter,-1.6405096646560868,8.876834325026456,11.181208082477426,0,-4.313818870352276,11.461974292530105,13.192287794546722,0,0.04188020559273178,3.9104029208882767,5.247044866550814,0,7.551571371641828,65.88368791372417
Addis_Ababa,mdl_3x,leave_quarter_out,189,8,8,0,8,2024Q1,31,0.164021164021164,equal_quarter,-1.6788499848624119,8.895797172933879,11.276769268535057,0,-5.038849677201975,12.194425595177117,13.942158446814895,0,-0.3379034278074253,4.150321993310376,5.553828982444005,0,8.044103601866741,65.96541623943465
Addis_Ababa,mdl_3x,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_filter,-4.029694431709678,9.300249946483872,11.938925808156071,0,4.207321154843431,13.052325494242124,17.213409142210345,0,2.4287412402933417,4.446121443281174,5.950749280395856,0,8.606204050960951,65.93617401556124
Addis_Ababa,mdl_3x,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_quarter,-4.5415445819980285,9.517991986735568,12.232637347368811,0,4.468740595096548,13.039492410553324,17.0878507923633,0,2.292725034556686,4.491333577285968,6.036022401971849,0,8.548158833267355,65.55591708730185
Addis_Ababa,mdl_5x,leave_quarter_out,183,8,8,0,8,2024Q1,31,0.16939890710382513,equal_filter,-1.8094946205464497,8.786184226393443,11.089583987185781,0,-4.089647713095411,11.247762780580745,12.986409245633471,0,0.07273951457922687,3.931454305254096,5.288443992297856,0,7.3163084753266485,65.04678857522005
Addis_Ababa,mdl_5x,leave_quarter_out,183,8,8,0,8,2024Q1,31,0.16939890710382513,equal_quarter,-2.048818943729011,8.545919159480038,10.940441750479854,0,-5.219659694397781,12.202037040708797,13.984570781337279,0,-0.6029245452706139,4.2525168924649694,5.681055230680731,0,7.949520148243828,65.149123230182
Addis_Ababa,mdl_5x,later_period,154,6,8,2,6,2024Q1,31,0.2012987012987013,equal_filter,-3.3742911096428574,9.141231214642856,11.618472097808803,0,3.6623175028817485,12.765794471609784,16.67814170224797,0,2.3076290961888715,4.295839711144108,5.710070871052272,0,8.469954760465676,66.34882599200739
Addis_Ababa,mdl_5x,later_period,154,6,8,2,6,2024Q1,31,0.2012987012987013,equal_quarter,-3.9274768590196327,9.36259266867669,11.93084461088082,0,4.046414428605897,12.817410208344725,16.67486781745266,0,2.1967884198454346,4.359604290129015,5.822922872071215,0,8.45780591821571,65.9868552284399
Beijing,diagnostic,leave_quarter_out,163,9,9,0,5,2023Q2,28,0.17177914110429449,equal_filter,-1.336605791184049,5.63757116691411,7.5505557352234245,0,-1.982924299649059,3.991864908441511,6.144270269093472,3,8.776543388235612e-06,3.56305449295314,5.1727414058907195,0,0.4288104154883712,10.742107394004616
Beijing,diagnostic,leave_quarter_out,163,9,9,0,5,2023Q2,28,0.17177914110429449,equal_quarter,-1.3632465755266558,5.222384879918824,7.1042573442489285,0,-1.7101380899287126,3.8170356975138864,5.7038538884120875,3,0.17649510337304747,3.488600960519259,4.8332627782209245,0,0.3284347369946272,8.604444994018355
Beijing,diagnostic,later_period,132,7,9,2,4,2023Q2,28,0.21212121212121213,equal_filter,-1.0595507686742427,5.198384518749999,6.926078626032326,0,-1.6569084474580256,3.580950724298349,4.981514219160341,1,0.9673034700718015,3.610006028685654,4.550533830476771,0,-0.029055304387305192,-0.8113852053353313
Beijing,diagnostic,later_period,132,7,9,2,4,2023Q2,28,0.21212121212121213,equal_quarter,-1.5843853756095105,5.141167347378221,6.88163656314437,0,-1.562199918859506,3.7147921719737558,4.996849890253843,1,0.6720491389017148,3.588618568895277,4.440211903280119,0,0.1261736030784788,3.396518492485135
Beijing,ratio_baseline,leave_quarter_out,150,9,9,0,7,2023Q2,26,0.17333333333333334,equal_filter,-1.5308321280533332,5.350405114346666,7.223532448444416,0,-1.3768132581176749,3.561071137568318,4.825157174687433,0,0.00031364836985498337,2.988481366487058,4.073573437113216,0,0.57258977108126,16.07914441923375
Beijing,ratio_baseline,leave_quarter_out,150,9,9,0,7,2023Q2,26,0.17333333333333334,equal_quarter,-1.701091081237182,5.170843374678659,7.046993791444276,0,-1.2826344740198425,3.522824968947022,4.7059544350624085,0,0.025886192497867475,3.077297483903062,4.016709822662782,0,0.44552748504396034,12.646881096029281
Beijing,ratio_baseline,later_period,125,7,9,2,6,2023Q2,26,0.208,equal_filter,-1.280647750056,5.071965968184001,6.817971063571839,0,-1.3887050853098795,3.481544558704058,4.767749907632773,0,0.3266792981650473,3.019982126796527,4.128559496093703,0,0.4615624319075309,13.25740412408621
Beijing,ratio_baseline,later_period,125,7,9,2,6,2023Q2,26,0.208,equal_quarter,-1.8741631790505624,5.160306968581044,6.925242858828504,0,-1.3640993215074821,3.6271140961247252,4.8178918950693586,0,0.11481690903329474,3.1984648464602796,4.1763802096375615,0,0.4286492496644456,11.81791469208047
Beijing,mdl_1_5x,leave_quarter_out,128,9,9,0,7,2023Q2,22,0.171875,equal_filter,-2.2413238655234378,5.220845767210937,7.197137234484088,0,-1.353162605219802,3.7671045098247475,5.011879607902548,0,-0.0001517942778975767,3.0574121894731716,4.204204483966952,0,0.7096923203515759,18.83919913824191
Beijing,mdl_1_5x,leave_quarter_out,128,9,9,0,7,2023Q2,22,0.171875,equal_quarter,-2.3235463026842536,5.260095305909732,7.152744994522709,0,-1.3625993632799,3.7236837331012853,4.9002332636047345,0,-0.028853418794835446,3.17552561442879,4.1854298395217375,0,0.5481581186724953,14.720855957763082
Beijing,mdl_1_5x,later_period,106,7,9,2,6,2023Q2,22,0.20754716981132076,equal_filter,-1.84017437885849,4.831104880669811,6.640065680515754,0,-1.3640639727109258,3.695721970050159,4.952452502349633,0,0.404050156404321,3.0896824061840884,4.262936842237461,0,0.6060395638660707,16.398407909939326
Beijing,mdl_1_5x,later_period,106,7,9,2,6,2023Q2,22,0.20754716981132076,equal_quarter,-2.4506390224124917,5.115645442082415,6.888979553018529,0,-1.454865958131581,3.83472029142846,5.003712543539219,0,0.0838771527721347,3.2815010056607266,4.342771707778169,0,0.5532192857677334,14.426587696743205
