Pair,Source,Method,Threshold,n,R_squared,Slope,p_value
Aeth vs EC,Sea Salt,GF (Fraction),All,19,0.5424151369082174,1.2892266167847684,0.0003232327916575575
Aeth vs EC,Sea Salt,GF (Fraction),≥30%,19,0.5424151369082174,1.2892266167847684,0.0003232327916575575
Aeth vs EC,Sea Salt,GF (Fraction),≥40%,14,0.5750479507799375,1.2505410781547424,0.0016700976962453944
Aeth vs EC,Sea Salt,GF (Fraction),≥50%,7,0.8861698636702677,2.6610462203498955,0.0015489897689823053
Aeth vs EC,Sea Salt,K_F (Concentration),All,3,0.3900847122654318,4.2669328194458815,0.5705504559727246
Aeth vs EC,Sea Salt,K_F (Concentration),≥30%,3,0.3900847122654318,4.2669328194458815,0.5705504559727246
Aeth vs HIPS,Charcoal Burning,GF (Fraction),All,22,0.6774290419279048,2.9482314353474273,2.557648814459947e-06
Aeth vs HIPS,Charcoal Burning,GF (Fraction),≥30%,21,0.6734625744078467,2.931899239242551,5.1940451622317794e-06
Aeth vs HIPS,Charcoal Burning,GF (Fraction),≥40%,15,0.5483937144867916,3.197824010202509,0.0015904617427711352
Aeth vs HIPS,Charcoal Burning,GF (Fraction),≥50%,11,0.6346484453999088,3.738074050106432,0.003334635742762884
Aeth vs HIPS,Charcoal Burning,GF (Fraction),≥60%,3,0.10416791565474977,1.2522543614982298,0.7907850207323665
Aeth vs HIPS,Charcoal Burning,K_F (Concentration),All,38,0.549052837733972,2.4579071648724655,1.0381923464850861e-07
Aeth vs HIPS,Charcoal Burning,K_F (Concentration),≥30%,38,0.549052837733972,2.4579071648724655,1.0381923464850861e-07
Aeth vs HIPS,Charcoal Burning,K_F (Concentration),≥40%,32,0.5431488003832149,2.377781044441054,1.5070791262529251e-06
Aeth vs HIPS,Charcoal Burning,K_F (Concentration),≥50%,21,0.6295180780655683,2.7792724099496406,1.7748073690710984e-05
Aeth vs HIPS,Charcoal Burning,K_F (Concentration),≥60%,13,0.589162222837285,3.4458764911767314,0.0021896379286362204
Aeth vs HIPS,Wood Burning,GF (Fraction),All,11,0.2110855908714124,1.634179665103424,0.15512545853872653
Aeth vs HIPS,Wood Burning,GF (Fraction),≥30%,10,0.22076943611562522,1.715636024897544,0.17061322374036977
Aeth vs HIPS,Wood Burning,K_F (Concentration),All,23,0.4142367782785264,1.9885151526761806,0.0009213374268621344
Aeth vs HIPS,Wood Burning,K_F (Concentration),≥30%,21,0.503533120354785,2.129299454126574,0.0003149345042943236
Aeth vs HIPS,Wood Burning,K_F (Concentration),≥40%,16,0.5498353285818838,2.092160637029944,0.0010103318073970457
Aeth vs HIPS,Wood Burning,K_F (Concentration),≥50%,7,0.7200576800793022,2.89816687581894,0.015771228898500505
Aeth vs HIPS,Fossil Fuel,GF (Fraction),All,23,0.5515239126980855,2.1833308053298874,4.94156761962511e-05
Aeth vs HIPS,Fossil Fuel,GF (Fraction),≥30%,23,0.5515239126980855,2.1833308053298874,4.94156761962511e-05
Aeth vs HIPS,Fossil Fuel,GF (Fraction),≥40%,18,0.5596005679597845,2.400897973242026,0.00035687335993880284
Aeth vs HIPS,Fossil Fuel,GF (Fraction),≥50%,10,0.27382479895240963,2.5038851983823274,0.120621582962851
Aeth vs HIPS,Fossil Fuel,GF (Fraction),≥60%,5,0.7293073884814015,5.286123054392219,0.06548442721624238
Aeth vs HIPS,Fossil Fuel,K_F (Concentration),All,13,0.06227121680210176,0.8533409667664232,0.41095869884415914
Aeth vs HIPS,Fossil Fuel,K_F (Concentration),≥30%,12,0.06655718275544746,0.8189389871985312,0.4181831860218471
Aeth vs HIPS,Fossil Fuel,K_F (Concentration),≥40%,6,0.009130263101221376,-0.1114209304865399,0.8571075939740848
Aeth vs HIPS,Fossil Fuel,K_F (Concentration),≥50%,4,0.02364102296298655,-0.3168105527069962,0.8462436246427922
Aeth vs HIPS,Polluted Marine,GF (Fraction),All,22,0.4928192158545927,1.0650582928706802,0.00027087991625683865
Aeth vs HIPS,Polluted Marine,GF (Fraction),≥30%,22,0.4928192158545927,1.0650582928706802,0.00027087991625683865
Aeth vs HIPS,Polluted Marine,GF (Fraction),≥40%,18,0.47894721330947276,1.0410563670608552,0.001460870911189762
Aeth vs HIPS,Polluted Marine,GF (Fraction),≥50%,6,0.06220578606765304,0.2941910603462401,0.6336410828513019
Aeth vs HIPS,Polluted Marine,K_F (Concentration),All,20,0.14812974816320545,0.5295007199726229,0.09380518063185356
Aeth vs HIPS,Polluted Marine,K_F (Concentration),≥30%,20,0.14812974816320545,0.5295007199726229,0.09380518063185356
Aeth vs HIPS,Polluted Marine,K_F (Concentration),≥40%,9,0.08281448862861832,0.42254450660675436,0.4527150601061156
Aeth vs HIPS,Polluted Marine,K_F (Concentration),≥50%,3,0.7999976275662496,-1.17152286907304,0.2951691232194601
Aeth vs HIPS,Sea Salt,GF (Fraction),All,19,0.41381431864972007,2.5681122473646343,0.0029651100849483586
Aeth vs HIPS,Sea Salt,GF (Fraction),≥30%,19,0.41381431864972007,2.5681122473646343,0.0029651100849483586
Aeth vs HIPS,Sea Salt,GF (Fraction),≥40%,14,0.4456787308925066,2.5423986138680057,0.009085789088413792
Aeth vs HIPS,Sea Salt,GF (Fraction),≥50%,7,0.4837027234778218,3.6551392543304146,0.08273278220919034
Aeth vs HIPS,Sea Salt,K_F (Concentration),All,3,0.012577980986048265,0.413799248874947,0.928451547875164
Aeth vs HIPS,Sea Salt,K_F (Concentration),≥30%,3,0.012577980986048265,0.413799248874947,0.928451547875164
