Method_Pair,Prefix,Dominance_Method,Source,Threshold,Low_n,Low_R2,Low_Slope,High_n,High_R2,High_Slope,Residual_Corr
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Polluted Marine,0.5,16,0.6537701729036257,1.3517173562907105,6,0.06220578606765307,0.2941910603462402,0.023793450473717243
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Polluted Marine,0.5,17,0.16514483759481724,0.6128322916451829,3,0.7999976275662494,-1.17152286907304,0.08344206521175422
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Polluted Marine,0.6,21,0.5669370075598646,1.1786437007876776,1,,,0.023793450473717243
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Polluted Marine,0.6,20,0.14812974816320548,0.5295007199726229,0,,,0.08344206521175422
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Polluted Marine,0.7,22,0.49281921585459243,1.0650582928706798,0,,,0.023793450473717243
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Polluted Marine,0.7,20,0.14812974816320548,0.5295007199726229,0,,,0.08344206521175422
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Sea Salt,0.3,0,,,19,0.41381431864972007,2.5681122473646343,0.18628471364279764
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Sea Salt,0.4,5,0.009603780071548005,-0.6188683000240327,14,0.4456787308925066,2.5423986138680057,0.18628471364279764
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Sea Salt,0.5,12,0.5261801982297619,2.350777801580083,7,0.4837027234778218,3.6551392543304146,0.18628471364279764
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Sea Salt,0.6,18,0.4729013929866567,2.7494301167303803,1,,,0.18628471364279764
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Sea Salt,0.7,19,0.41381431864972007,2.5681122473646343,0,,,0.18628471364279764
