Method_Pair,Prefix,Dominance_Method,Source,Threshold,Low_n,Low_R2,Low_Slope,High_n,High_R2,High_Slope,Residual_Corr
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,ALL,0.6,80,0.7048617459579134,1.1464832772238223,17,0.7387909990052983,1.3493150856318457,0.10053164712673623
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,ALL,0.7,95,0.7432797262760819,1.1676336126531253,2,,,0.06131269345539237
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,ALL,0.7,89,0.7045902096022084,1.1015167886229091,8,0.8945782653970087,1.6951117358942869,0.10053164712673623
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,ALL,0.3,2,,,95,0.6029789600872817,2.464917046247148,0.06962288254037571
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,ALL,0.3,3,0.5189688732042211,3.01756026112139,94,0.6082786765738879,2.4371078680604157,0.35181366668754227
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,ALL,0.4,30,0.4494193611956245,2.5510115535809437,67,0.6437791010460975,2.415899240995297,0.06962288254037571
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,ALL,0.4,32,0.34236664809722656,2.491262443555612,65,0.6580537729996578,2.380698016699133,0.35181366668754227
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,ALL,0.5,61,0.5996248489109163,2.2718320535492675,36,0.6048056674519317,2.6663994743121338,0.06962288254037571
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,ALL,0.5,61,0.42673969211760787,2.354711188984103,36,0.6716386602584526,2.3926954411748675,0.35181366668754227
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,ALL,0.6,87,0.5821851946089556,2.3452556206958057,10,0.6723332372632658,3.047146597063283,0.06962288254037571
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,ALL,0.6,80,0.5271141418696671,2.3170383880592067,17,0.5971509662444908,2.458276579651165,0.35181366668754227
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,ALL,0.7,95,0.5925294882484914,2.4384100761152263,2,,,0.06962288254037571
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,ALL,0.7,89,0.537644771125292,2.2525092713893002,8,0.73437647713845,3.184270337177475,0.35181366668754227
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Charcoal Burning,0.3,1,,,21,0.8569200383521453,0.3925356310443485,-0.28239780292217853
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Charcoal Burning,0.3,0,,,41,0.8143183379834296,0.3982996467066488,-0.41257575850403183
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Charcoal Burning,0.4,7,0.9799278630151173,0.3878841156379382,15,0.6936112576137377,0.38601339170925264,-0.28239780292217853
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Charcoal Burning,0.4,7,0.8351688600512154,0.40150519104662474,34,0.808733950059133,0.40132939400473777,-0.41257575850403183
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Charcoal Burning,0.5,11,0.987114999544939,0.3987484689907296,11,0.6299576611525128,0.3804395045857061,-0.28239780292217853
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Charcoal Burning,0.5,20,0.7145959973622316,0.40877098542675183,21,0.8053504072251919,0.377446981914036,-0.41257575850403183
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Charcoal Burning,0.6,19,0.8491801773963271,0.39626752076839433,3,0.8502622557951274,0.5322835468269824,-0.28239780292217853
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Charcoal Burning,0.6,28,0.8174512176817761,0.4038785058039639,13,0.6680237124396563,0.38500312611384496,-0.41257575850403183
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Charcoal Burning,0.7,22,0.8550638040187901,0.39392981450790476,0,,,-0.28239780292217853
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Charcoal Burning,0.7,34,0.8373697514453784,0.4019547595150618,7,0.6292970108639623,0.37352397042053387,-0.41257575850403183
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Wood Burning,0.3,1,,,10,0.7803960941264808,0.476155403779294,0.09470407350776262
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Wood Burning,0.3,2,,,22,0.82221757653975,0.3730208044525277,-0.1969658012650402
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Wood Burning,0.4,9,0.6736755962840669,0.38599780543915657,2,,,0.09470407350776262
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Wood Burning,0.4,8,0.7680970338264098,0.2845748428953215,16,0.9252494706505584,0.4471699333896013,-0.1969658012650402
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Wood Burning,0.5,9,0.6736755962840669,0.38599780543915657,2,,,0.09470407350776262
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Wood Burning,0.5,17,0.800002727360553,0.3651760770122098,7,0.9726173636804372,0.4733130853399422,-0.1969658012650402
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Wood Burning,0.6,11,0.7590126183559976,0.43166941108933365,0,,,0.09470407350776262
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Wood Burning,0.6,22,0.7994015803012362,0.37186901377851417,2,,,-0.1969658012650402
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Wood Burning,0.7,11,0.7590126183559976,0.43166941108933365,0,,,0.09470407350776262
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Wood Burning,0.7,24,0.7864576923821739,0.3805064758617415,0,,,-0.1969658012650402
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Fossil Fuel,0.3,0,,,25,0.8361003031124838,0.4400771324078335,0.14589936745778737
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Fossil Fuel,0.3,1,,,12,0.3618623262642101,0.34012856591484997,0.013782795151269825
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Fossil Fuel,0.4,5,0.9613783366827969,0.44235739696023924,20,0.7617332045043768,0.42195349850477837,0.14589936745778737
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Fossil Fuel,0.4,7,0.2410394867525022,0.194006995989971,6,0.7967164245204936,0.828396998995641,0.013782795151269825
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Fossil Fuel,0.5,14,0.8925811526723859,0.4678741016359115,11,0.6682323177434147,0.3382731760339595,0.14589936745778737
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Fossil Fuel,0.5,9,0.36263375936539394,0.30312327895203867,4,0.49193852041843805,0.6209957906263389,0.013782795151269825
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Fossil Fuel,0.6,20,0.852689423323009,0.4648356339402419,5,0.8459631659698686,0.3126243469111288,0.14589936745778737
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Fossil Fuel,0.6,11,0.31423781153129615,0.29663042251407346,2,,,0.013782795151269825
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Fossil Fuel,0.7,23,0.8376043368337867,0.4413149943255274,2,,,0.14589936745778737
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Fossil Fuel,0.7,12,0.3509263823076703,0.3316309071895423,1,,,0.013782795151269825
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Polluted Marine,0.3,0,,,23,0.6242209515153704,0.5276323524929103,0.15221150891395369
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Polluted Marine,0.3,0,,,21,0.7059476602701372,0.7325694827677047,0.14150907672577837
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Polluted Marine,0.4,4,0.8747647109830309,0.5602609605085075,19,0.573991158318539,0.5228554685812132,0.15221150891395369
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Polluted Marine,0.4,11,0.5311049254899887,0.6216494594617181,10,0.6733597909344542,0.5970085356205616,0.14150907672577837
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Polluted Marine,0.5,16,0.6246530202075009,0.48425184350626294,7,0.5991130143707918,0.6881820908763557,0.15221150891395369
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Polluted Marine,0.5,18,0.6945508696068107,0.7240677309737793,3,0.01451074575685489,0.20328050305905665,0.14150907672577837
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Polluted Marine,0.6,22,0.6063216901177189,0.5143816658048929,1,,,0.15221150891395369
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Polluted Marine,0.6,21,0.7059476602701372,0.7325694827677047,0,,,0.14150907672577837
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Polluted Marine,0.7,23,0.6242209515153704,0.5276323524929103,0,,,0.15221150891395369
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,Polluted Marine,0.7,21,0.7059476602701372,0.7325694827677047,0,,,0.14150907672577837
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Sea Salt,0.3,1,,,20,0.819335695677795,0.39294397720647695,0.11520548050806781
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,Sea Salt,0.4,6,0.9333943734568507,0.45724802021938366,15,0.8111614125367562,0.38645186259350583,0.11520548050806781
