SiteCode,n,slope,intercept,r2
PEFO1,2422,5.322379245217428,1.2635021134539728,0.539938988414162
PENO1,2087,6.664161160055694,1.199489347322444,0.7381078876420487
PETE1,439,4.125772621651372,0.2248307874821155,0.5158015528172373
PHOE1,2518,7.836039276755868,2.9099547393332266,0.8180047624512626
PHOE5,2277,7.574493273252212,3.09639764518305,0.8490937409683988
PINN1,2506,3.5843804062501503,1.6322053604403495,0.49553343736956657
PITT1,806,6.838615758814765,1.8138211530942288,0.7656770809497699
PMRF1,2561,8.542824273369048,0.4178710350119114,0.7567778400191485
PORE1,1872,1.784439238031272,0.934295764942091,0.42935849345656935
PRIS1,2570,8.868659446391046,0.682267999002525,0.7989235095215079
PUSO1,2453,7.365072354690512,2.278551505050851,0.7908148012860088
QUCI1,2540,6.894605058815386,1.2955547352754593,0.7083333147685994
QURE1,1513,8.903062760780966,0.7785977840380892,0.7905896999073949
QUVA1,1479,9.702602873539108,0.739050114670675,0.715857231119312
RAFA1,1977,2.472919210691983,1.3026534371552525,0.5661450309252853
REDW1,2087,6.068142938284202,0.37541559980835737,0.7866651435394442
ROMA1,2518,7.096244748645646,1.1093801181945755,0.7520248142136609
ROMO1,2412,7.394984491021355,0.37132134253412247,0.7408558777378615
RUBI1,103,6.5131369714036165,2.979013051266498,0.7737798490198299
SACR1,2456,8.651753034686935,0.7014413567525668,0.5780957769476429
SAFO1,959,8.628920302387986,0.9426403478908276,0.7586553211365019
SAGA1,1731,7.607508315619104,0.8062298125913786,0.7480395265282798
SAGO1,2488,7.055853908213792,0.9970954116219637,0.7454744603567577
SAGU1,2513,10.24734713820915,0.708386563644898,0.6707879600247296
SAMA1,2364,6.803029594846749,1.189891038843971,0.7458472615673011
SAPE1,2165,7.686994229060157,0.2788700693571572,0.7347268844084854
SAWE1,2454,11.449154656860996,0.7830586325748098,0.7661308862701494
SAWT1,2175,3.6000435276890634,0.697777134075796,0.6866013580709016
SENE1,2453,7.841602950477448,0.4202639496686999,0.7397196579365951
SEQU1,2503,3.839333072395821,1.9678380565136344,0.4396963927442743
SHEN1,2492,6.348869113842993,0.8189192536506249,0.6896960923508733
SHMI1,2270,8.952332606563475,0.3110363867053539,0.69721268981717
SHRO1,2206,8.384668304045611,0.5248147728437125,0.6917831736628947
SIAN1,1239,8.04942879162849,0.543577290718327,0.7894992425782285
SIKE1,896,4.165977791948094,1.800436958509738,0.5507857521406043
SIME1,1889,9.084097637613285,0.31954886982013464,0.7868361357353002
SIPS1,2372,7.059533461396503,1.3061024588518395,0.6760483360865184
SNPA1,2425,1.1817200771013225,1.6060045559073937,0.32480555887948975
SOGP1,590,8.392460460356864,0.5918291069582933,0.7207265031610374
SPOK1,246,6.3620432700929515,1.0370394642510055,0.5900891969490184
STAR1,2388,1.6672835847800107,1.1194654471353316,0.3052914806331241
STIL1,1692,6.633827161685237,1.517202157584411,0.6125210776985288
SULA1,2035,2.7625676602396063,0.6982373985988556,0.6151360774234145
SWAN1,2157,7.865845273803037,0.7239960521060441,0.7347194406171959
SYCA1,1367,8.420724342297156,1.232349554228838,0.6511074045340802
SYCA2,972,0.8710318222208436,2.7095974494987294,0.267001042299222
TALL1,2560,6.734355800094802,1.2715994435394729,0.7440318260442315
THBA1,1606,9.615171374760902,0.41201989783788556,0.7981392456136596
THRO1,2456,7.83529659756506,0.620153069097309,0.71385353248512
THSI1,2187,7.3349930979883355,0.39729064868454145,0.7742749341718449
TONT1,2458,7.613230225051647,0.8059039626098081,0.6334604916423221
TOOL1,575,1.2926271700124652,0.5690491437186227,0.5779824905016463
TRCR1,2287,6.277098544802618,0.17006211890175668,0.6563176848837702
TRIN1,2002,4.404918092742427,0.7500734766878924,0.6393892816150144
TUXE1,965,8.26887779288933,0.1089973158201167,0.7454146246638892
ULBE1,2097,7.397006722500428,0.3060798865426197,0.776710284174614
UPBU1,2411,6.370309237091859,1.1486481205437566,0.6167350206628434
VIIS1,2021,9.4190948767213,0.4247855547506588,0.7985717941521739
VILA1,2305,8.108566073449657,0.7739270764424768,0.7347167251072187
VOYA2,2352,6.94734580233466,0.41867027614902913,0.7312616869912454
WARI1,274,8.405498563471255,0.9136136248235642,0.7119300473859203
WASH1,1304,6.799228369668811,3.024711036162258,0.6856810843513746
WEMI1,2527,7.785521113534867,0.35111119254323686,0.738568330049128
WHIT1,2361,5.085491895725399,0.6116130615274709,0.5447462993515311
WHPA1,1959,0.9272210624731659,0.7259060702644425,0.32809973208085064
WHPE1,2205,10.45726936714012,0.07916637576969526,0.8661900254061238
WHRI1,2434,8.64108575130173,0.20636273854208906,0.7358190397170712
WICA1,2441,5.386875079889607,0.6639649295858131,0.6700381317851104
WIMO1,2326,9.695105696840884,0.4108850267814055,0.5963077571156901
WRIG1,346,4.313342245447852,1.8132771379854278,0.6057784574115818
YELL2,2255,6.605950717257769,0.2952483326122784,0.7700877385253238
YOSE1,2351,2.191090371296973,1.2959774516419336,0.47433779174940377
ZICA1,2385,7.846658929807956,0.4647321940543699,0.6154274924923596
ZION1,182,7.349337477471439,0.5097173920172092,0.7310111943557023
