"Site","Latitude","Longitude","Barcode","FilterId","SampleDate","FilterType","LotId","AnalysisDate","AnalysisTime","CalibrationSetId","DepositArea_cm2","Volume_m3","Parameter","MassLoading_ug","Concentration_ug_m3","MDL_ug_m3","Uncertainty_ug_m3","FilterComments"
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","11",3.53,7.128,"EC_ftir",25.5907678117538,3.59017505776569,0.418037016158708,,
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","12",3.53,7.128,"OC_ftir",34.4927034556337,4.83904369467364,0.879862718269219,,
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","PF",3.53,7.128,"alcoholCOH",18.8334452576019,2.64217806644247,,,
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","PF",3.53,7.128,"alkaneCH",67.3128124579045,9.44343609117627,,,
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","PF",3.53,7.128,"naCO",10.6845412732183,1.49895360174218,,,
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","PF",3.53,7.128,"carboxylicCOOH",48.1763707083602,6.75875009937713,,,
"CHTS",40.004,116.326,"206112","CHTS-0682-1",2022-10-13,"PM2.5","251","2023-02-09","11:12:22","PF",3.53,7.128,"OM",145.007169697085,20.3433178587381,,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","11",3.53,7.2,"EC_ftir",1.83024101153295,0.254200140490688,0.413856645997121,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","12",3.53,7.2,"OC_ftir",8.3073236270126,1.15379494819619,0.871064091086527,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","PF",3.53,7.2,"alcoholCOH",2.6067657775752,0.362050802441,,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","PF",3.53,7.2,"alkaneCH",2.41866232160407,0.33592532244501,,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","PF",3.53,7.2,"naCO",1.15157156215225,0.159940494743368,,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","PF",3.53,7.2,"carboxylicCOOH",0,0,,,
"CHTS",40.004,116.326,"206114","CHTS-0683-2",2022-10-16,"PM2.5","251","2023-02-09","11:17:42","PF",3.53,7.2,"OM",6.17699966133152,0.857916619629378,,,
