n_components,rmse_mean,rmse_sd,rmse_se,n_folds,cv_scheme,is_local_minimum,within_global_one_se,selected_first_major_minimum,global_minimum_components,selection_threshold,model,df1
30,7.154493166278411,2.376748758606465,1.0629143579364586,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
31,7.221354682431382,2.3248469249390937,1.039703152289033,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
32,7.279522576233084,2.3765041732714476,1.062804976049379,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
33,7.364170855742911,2.5424001682109125,1.1369959204253,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
34,7.39602700296332,2.625809493139943,1.174297704525036,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
35,7.474632299120546,2.4959384033163,1.1162175874935067,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
36,7.704474385839513,2.6439748827108405,1.1824215137086944,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
37,7.915973253163523,2.8574249895372517,1.2778793034423839,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
38,8.124624787361839,2.932891373884221,1.3116288965255738,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
39,8.428161516093223,3.2444458381241144,1.4509602886723596,5,group-held-out K-fold,False,False,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
40,9.263075245523256,4.370697670141325,1.9546354199071911,5,group-held-out K-fold,False,False,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
1,15.137582462992373,8.728540117585256,3.9035218094509276,5,group-held-out K-fold,False,False,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
2,8.730702439959506,5.391240158237968,2.411035895369364,5,group-held-out K-fold,False,False,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
3,8.128967660013284,5.223487116826195,2.3360144545635517,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
4,7.229335295548052,4.176096502567562,1.8676071320680387,5,group-held-out K-fold,False,True,False,5,8.265934792703838,"lowest-OCEC 800, AIRSpec df1=8",8
