# File Updated: 2025-07-29
# Data version 3.0
# Site: Addis Ababa, Ethiopia
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28926,Tin PM2.5,-3.67,Nanograms per cubic meter (ng/m3),0.0259,0.0297,0.0181,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28202,BC PM2.5,4.02,Micrograms per cubic meter (ug/m3),,,,221,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,HIPS,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28203,EC PM2.5,2.55,Micrograms per cubic meter (ug/m3),,0.06859713241495642,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28203,EC PM2.5,0.07,Micrograms per cubic meter (ug/m3),,0.06859713241495642,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28204,OC PM2.5,3.88,Micrograms per cubic meter (ug/m3),,0.11498453753162777,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28204,OC PM2.5,0.11,Micrograms per cubic meter (ug/m3),,0.11498453753162777,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28205,OM PM2.5,3.74,Micrograms per cubic meter (ug/m3),,,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28101,Filter PM2.5 mass,15.39,Micrograms per cubic meter (ug/m3),,,,116,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28402,Nitrate Ion PM2.5,0.2,Micrograms per cubic meter (ug/m3),,1.201635928,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0018,2022,12,10,9.0,2022,12,11,9.0,24.0,28401,Sulfate Ion PM2.5,1.53,Micrograms per cubic meter (ug/m3),,0.22562734933333334,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,SGP
