MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
2366,29.6514,17.3963,-36.0625,42.786,-40.6756,25.2875
2367,1.0086,2.5507,-110.9125,4.1056,-86.6419,2.8125
2368,26.2125,18.3596,-24.4122,37.7086,-19.7955,24.6197
2737,23.8786,16.1177,-143.7868,35.2481,-96.663,23.8403
2738,25.1117,17.1608,-87.6741,34.4748,-58.0739,25.7376
2739,28.1408,18.6086,-104.0238,39.5512,-84.1051,27.8033
2740,23.5315,14.9692,-85.9213,31.8619,-74.7106,22.6645
2741,35.7956,22.626,-67.489,44.6759,-64.1253,32.7031
2742,41.5131,30.0597,-84.6647,51.0886,-76.4309,40.7342
2743,3.3622,4.0331,-135.2686,6.6228,-114.4714,6.2568
2744,24.624,17.2341,-8.7004,34.2826,-3.7347,23.5529
2745,49.5178,36.8506,-106.6251,61.2043,-46.8962,48.0267
2746,30.2938,26.2128,-107.2683,36.5102,-47.8513,34.1683
2747,34.58,22.1644,-95.5304,41.2362,-61.3057,29.6223
2748,13.8804,13.6142,-72.7601,20.464,-38.6907,18.2915
2749,32.6834,25.1002,-89.6159,40.8485,-45.5576,33.9089
2750,48.8402,32.5141,-89.6548,57.6063,-58.5729,44.3186
2751,2.3641,3.6812,-119.642,6.7508,-111.9713,7.4684
2752,18.727,15.2811,-107.1076,25.7984,-76.7701,21.5012
2753,23.3787,16.9432,-98.6633,30.2989,-75.5781,23.8802
2754,22.9631,15.3862,-86.6455,31.1749,-64.1927,22.3936
2755,19.8684,14.2439,-100.3754,28.1668,-77.0373,21.2436
2756,38.6204,25.0544,-133.0036,45.1431,-104.778,35.1916
2757,33.1584,23.4377,-83.7246,40.01,-102.9384,33.4958
2758,44.7645,28.5517,-108.062,51.5375,-99.8188,40.3357
2759,3.7736,4.1922,-102.008,8.0941,-89.2404,7.9144
2760,39.043,27.7273,-127.5489,45.0955,-106.8432,40.2884
2761,23.5429,14.4335,-104.8656,35.3951,-81.5586,23.3425
2762,27.9867,17.3318,-130.3106,39.1488,-124.6458,26.2993
2763,21.3891,14.7176,-195.9701,32.608,-142.8728,21.4121
2764,29.8529,19.9062,-97.8682,36.5328,-103.3063,30.1723
2765,45.0732,26.4688,-66.5511,50.4357,-84.1184,37.0004
2766,41.3125,24.3462,-99.4246,53.1601,-142.9899,37.6028
2767,-0.1914,2.5131,-134.3701,2.2873,-111.4853,3.1465
2767,-0.0449,2.7928,-134.9632,2.4134,-111.4814,3.6883
2768,28.8894,19.1841,-81.2449,35.1834,-85.3943,25.8268
2777,27.3604,16.5723,-103.0813,37.0022,-115.9003,26.3846
2778,19.3258,12.1993,-200.3471,34.7744,-128.2452,20.5217
2779,15.0276,11.4267,-249.922,26.8303,-197.1323,18.6601
2777,25.4603,16.7421,-124.5876,33.8412,-136.3053,26.168
2780,25.3504,16.1062,-160.2827,34.1044,-163.7098,25.4179
2781,31.593,21.7906,-119.1362,35.8881,-151.9802,30.5277
2782,48.158,28.1746,-71.4673,55.3555,-121.8627,40.9558
2783,0.6136,3.5143,-146.0184,2.4691,-118.1789,5.7467
2784,31.0689,24.2225,-98.174,39.3782,-108.3617,34.0984
2785,43.7129,25.0821,-109.096,48.8395,-127.6264,35.8396
2786,36.8809,25.9372,-100.399,44.2417,-96.7829,35.8295
2787,47.8714,30.1968,-94.8835,53.5751,-95.4754,42.5348
2788,39.4634,28.4664,-128.8121,47.4367,-98.3341,39.1362
2789,46.4789,31.2979,-70.8756,51.4086,-95.0812,43.9909
2790,49.7113,31.626,-111.113,58.4582,-155.5989,45.506
2791,3.1886,3.9573,-125.3258,5.0303,-111.8132,7.7477
2792,25.1075,16.7746,-97.9136,28.0948,-124.1387,26.7667
3041,49.6238,30.0446,-138.7251,60.5134,-136.7763,42.2037
3042,53.3552,35.6411,-163.491,66.7842,-158.6593,50.0724
3043,52.521,31.3498,-152.4808,60.924,-124.6566,43.8902
3044,52.5456,31.6914,-143.3297,62.0938,-158.4049,43.36
3045,42.955,27.2018,-120.9296,51.6983,-131.6402,38.5934
3046,33.7909,21.0308,-137.7919,42.1269,-143.7519,29.9847
3047,-1.4931,2.5703,-154.2908,1.8106,-132.2255,4.524
3048,33.9564,19.9176,-182.2228,45.2852,-163.59,29.136
3161,79.8342,48.8458,-150.1475,100.6847,-60.8965,64.1829
3162,51.0914,32.3687,-89.3399,63.9624,-74.7016,43.1481
3163,70.8575,39.4211,-271.1034,87.9226,-175.0575,52.3752
3161,79.1068,48.9499,-155.3891,99.3743,-67.6509,64.5213
3164,30.3925,25.6887,-204.7047,41.4097,-103.8133,33.1863
3165,96.9243,58.2812,-75.4541,117.7412,-42.3944,78.4872
3166,75.1434,43.8413,-107.66,92.9437,-93.4069,59.462
3167,1.0377,2.8117,-123.8505,5.4227,-107.8831,5.4026
3168,58.1053,36.9113,-176.8404,74.298,-125.546,50.34
3169,67.0642,37.2442,-111.3266,78.797,-106.0084,52.9819
3170,84.781,51.6673,-107.7085,106.1938,-55.2512,69.3713
3171,76.8828,47.0977,-109.3095,95.6583,-74.6147,62.8998
3172,43.9527,27.8337,-236.522,55.9211,-174.1983,37.3549
3173,102.8754,56.5492,-107.8359,125.5521,-69.8066,76.7417
3174,97.6673,52.6789,-150.9031,119.9489,-79.8268,71.9994
3175,-0.5283,2.1486,-135.0201,3.0404,-112.9252,4.3173
3176,89.099,51.3354,-114.8613,109.1218,-80.2245,70.1665
3177,91.5561,50.0742,-37.1481,109.9385,-59.8655,70.1475
3178,69.8314,38.0983,-66.7568,83.1157,-77.1904,52.4404
3179,59.6847,34.928,-79.5248,71.3642,-105.3933,48.7048
3180,39.4882,25.1168,-68.8391,46.1499,-122.178,36.6496
3181,41.1206,27.4477,-97.7823,49.3709,-119.0714,38.7625
3182,81.8415,43.6104,-32.3988,97.1079,-60.7519,60.3704
3183,3.0897,4.3456,-116.8981,8.6194,-106.5011,7.9331
3184,65.3387,36.0372,-50.4463,79.2249,-68.9351,49.5209
3185,69.1595,38.1367,-50.3115,82.4193,-81.0779,54.136
3186,27.747,19.2263,-68.5071,32.6718,-107.6206,26.8996
3187,54.9131,33.2618,-59.8103,64.326,-100.9377,47.0384
3188,86.5255,46.6205,-32.1461,104.0196,-52.6807,65.1852
3189,58.4483,35.116,-49.1595,73.6468,-64.787,50.1225
3190,74.6239,50.924,-88.9964,95.8147,29.8371,64.8226
3191,1.9765,3.5634,-131.1499,6.3497,-101.369,5.71
3192,20.2701,12.0388,-129.4493,26.676,-113.5249,18.6826
445,29.7817,15.5688,-262.6926,46.7922,-84.8846,16.7481
446,22.706,8.5679,-216.381,34.6018,74.09,1.3816
447,13.517,4.7534,-182.8237,19.7831,64.8159,-3.2661
448,18.5683,5.7501,-220.9719,25.4402,91.6754,-4.3082
449,21.1538,8.7858,-186.6721,31.0141,12.083,4.9577
450,19.737,7.4719,-223.5291,28.3498,66.8242,-1.1094
451,-2.9886,-5.655,-236.9345,-2.5643,52.3788,-17.8591
452,17.6074,2.5226,-173.5573,28.3777,164.9212,-6.7486
453,7.2121,4.7553,-177.9323,13.4106,61.7433,-3.3142
454,10.1635,5.3398,-205.4009,16.2098,77.1766,-4.005
455,40.5369,23.781,-118.6374,51.4225,-19.8507,26.9898
456,15.3622,11.9692,-128.3086,23.584,-22.2243,10.1634
458,13.1647,3.0048,-172.147,23.2032,104.5453,-6.0057
459,-1.5884,-3.3171,-217.3817,1.5405,31.9778,-14.0991
460,11.3009,8.4281,-144.4681,20.9009,48.0987,3.611
3956,58.0005,35.1097,-48.8659,69.1395,-62.2475,49.5157
3957,25.5233,17.6018,-46.5979,36.4022,-12.1099,24.0148
