MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
2758,0.9099,3.8024,6.0043,6.7708,7.0505,5.7427
2759,,,,,,
2760,1.5582,3.2204,5.2882,5.9332,5.9139,4.3544
2761,0.9685,1.9732,3.3093,3.5959,4.3364,4.1823
2762,0.7686,2.2718,3.9287,4.3098,4.5949,3.5748
2763,1.0775,1.8473,3.054,3.3396,3.6596,3.298
2764,0.9807,2.415,4.2211,4.5132,4.7885,4.0526
2765,1.1318,4.1476,6.2044,6.7261,7.0563,5.0361
2766,1.0002,3.1267,5.7868,6.2604,6.7352,5.0495
2767,,,,,,
2767,,,,,,
2768,0.7155,2.4549,4.1076,4.3649,4.8806,4.7238
2777,0.6761,2.1846,3.9221,4.1902,4.4822,3.3392
2778,0.6552,1.5395,2.7372,3.411,3.7851,2.4507
2779,0.3974,0.9996,2.5062,2.7327,2.8521,1.89
2777,0.5187,1.8666,3.6211,3.9862,4.1781,2.7999
2780,0.5162,1.8622,3.7904,3.9597,4.1072,2.581
2781,0.7258,2.2282,4.5105,5.0516,5.0153,2.8742
2782,0.6263,4.1828,6.7821,7.3457,7.6471,5.382
2783,,,,,,
2784,0.7321,2.9682,4.4514,4.9224,4.8717,3.3539
2785,0.7138,3.6332,6.0073,6.5818,6.6043,4.3935
2786,0.7577,3.4594,5.0909,5.6161,5.8785,3.8753
2787,1.2005,4.5959,6.6157,7.1312,7.4509,5.206
2788,1.2443,3.9837,5.447,6.0633,6.1275,3.5328
2789,1.3873,4.2564,6.4251,6.8653,6.8767,4.6341
2790,1.1277,4.0697,6.9125,7.5238,7.9543,5.8757
2791,,,,,,
2792,0.7535,1.6528,3.6714,3.7904,3.8409,2.1774
3041,1.0148,4.179,6.8756,7.7046,8.1338,6.5257
3042,1.3853,4.3704,7.6364,8.1954,8.5591,7.651
3043,1.4203,4.5044,7.247,8.1468,8.3908,6.73
3044,1.5288,3.9782,7.131,8.2354,8.1299,6.5139
3045,0.8056,3.3903,5.9971,6.5689,6.5656,4.6592
3046,0.48,2.7514,4.9301,5.2292,5.3877,4.1434
3047,,,,,,
3048,0.4865,2.6861,4.708,5.149,5.6004,4.8994
3161,2.279,8.1373,10.9865,12.2023,11.9177,7.0498
3162,1.3207,4.8054,6.9587,7.7441,7.5862,4.2224
3163,1.7548,5.8194,9.8878,11.3106,10.656,7.0062
3161,2.2406,7.9802,10.8311,12.1329,11.7426,6.8465
3164,1.2123,2.867,4.4494,4.837,4.5978,3.2471
3165,2.9513,10.0568,13.7353,15.1322,14.7417,10.7294
3166,1.8134,6.9276,10.3395,11.5157,11.4279,7.9965
3167,,,,,,
3168,1.3041,5.5263,8.4162,8.9616,8.5086,5.6353
3169,1.7129,5.8586,9.2629,9.9693,9.71,6.7985
3170,2.5483,8.6199,11.7076,13.0439,12.6882,9.5131
3171,2.1665,7.6882,10.72,11.892,11.5447,8.164
3172,0.6796,3.4252,6.2254,6.6868,6.6876,5.6121
