MediaId,EC_ugm3_new,EC_ugm3_old,ExternalFilterId,Fabs,EC_hips
2762,2.43,3.891,ETAD-0178-2,45.865,4.586
2763,2.131,2.974,ETAD-0179-3,41.423,4.142
2764,2.628,4.105,ETAD-0180-4,44.022,4.402
2765,3.927,6.198,ETAD-0181-5,38.086,3.809
2766,3.296,5.744,ETAD-0182-6,53.43,5.343
2767,,,ETAD-0183-7,,
2767,,,ETAD-0183-7,,
2768,2.432,3.973,ETAD-0184-8,42.713,4.271
2777,2.321,3.804,ETAD-0185-1,42.835,4.284
2778,1.747,2.687,ETAD-0186-2,40.142,4.014
2779,1.705,2.089,ETAD-0187-3,35.277,3.528
2777,2.184,3.54,ETAD-0185-1,42.835,4.284
2780,2.207,3.524,ETAD-0188-4,37.708,3.771
2781,2.843,4.392,ETAD-0189-5,49.291,4.929
2782,3.875,6.695,ETAD-0190-6,52.354,5.235
2783,,,ETAD-0191-7,,
2784,3.055,4.272,ETAD-0192-8,47.2,4.72
2785,3.584,5.941,ETAD-0193-1,41.878,4.188
2786,3.206,5.012,ETAD-0194-2,44.121,4.412
2787,4.06,6.506,ETAD-0195-3,42.31,4.231
2788,3.554,5.363,ETAD-0196-4,54.8,5.48
2789,4.087,6.316,ETAD-0197-5,49.112,4.911
2790,4.14,6.756,ETAD-0198-6,61.714,6.171
2791,,,ETAD-0199-7,,
2792,2.061,3.453,ETAD-0200-8,34.866,3.487
3041,4.014,6.824,ETAD-0201-1,61.059,6.106
3042,4.467,7.337,ETAD-0202-2,68.28,6.828
3043,4.213,7.222,ETAD-0203-3,56.66,5.666
3044,4.307,7.226,ETAD-0204-4,57.102,5.71
3045,3.533,5.907,ETAD-0205-5,47.723,4.772
3046,2.915,4.647,ETAD-0206-6,48.975,4.898
3047,,,ETAD-0207-7,,
3048,2.781,4.669,ETAD-0208-8,49.221,4.922
3161,6.58,11.099,ETAD-0217-1,68.08,6.808
3162,4.298,7.026,ETAD-0218-2,51.036,5.104
3163,5.432,9.851,ETAD-0219-3,62.194,6.219
3161,6.499,10.998,ETAD-0217-1,68.08,6.808
3164,2.952,4.179,ETAD-0220-4,48.911,4.891
3165,8.154,13.793,ETAD-0221-5,68.914,6.891
3166,5.959,10.447,ETAD-0222-6,63.257,6.326
3167,,,ETAD-0223-7,,
3168,4.988,8.078,ETAD-0224-8,63.072,6.307
3169,5.234,9.222,ETAD-0225-1,56.665,5.667
3170,7.047,11.787,ETAD-0226-2,68.528,6.853
3171,6.468,10.819,ETAD-0227-3,68.214,6.821
3172,3.621,5.973,ETAD-0228-4,54.685,5.469
3173,7.95,14.303,ETAD-0229-5,73.772,7.377
3174,7.578,13.744,ETAD-0230-6,67.733,6.773
3175,,,ETAD-0231-7,,
3176,7.152,12.387,ETAD-0232-8,71.364,7.136
3177,6.814,12.729,ETAD-0233-1,60.165,6.016
3178,5.213,9.709,ETAD-0234-2,50.844,5.084
3179,4.521,8.207,ETAD-0235-3,49.553,4.955
3180,3.281,5.43,ETAD-0236-4,45.39,4.539
3181,3.334,5.588,ETAD-0237-5,42.556,4.256
3182,5.979,11.378,ETAD-0238-6,57.47,5.747
3183,,,ETAD-0239-7,,
3184,4.972,8.985,ETAD-0240-8,48.701,4.87
3185,5.292,9.732,ETAD-0241-1,52.523,5.252
3186,2.356,3.858,ETAD-0242-2,34.681,3.468
3187,4.332,7.634,ETAD-0243-3,48.744,4.874
3188,6.155,12.029,ETAD-0244-4,57.26,5.726
3189,4.621,8.029,ETAD-0245-5,52.965,5.297
3190,6.713,10.876,ETAD-0246-6,56.167,5.617
3191,,,ETAD-0247-7,,
3192,5.839,9.775,ETAD-0248-8,85.853,8.585
445,3.109,4.291,ETAD-0001-1,55.292,5.529
446,2.333,3.271,ETAD-0002-2,44.16,4.416
447,1.869,1.947,ETAD-0003-3,37.512,3.751
448,2.169,2.642,ETAD-0004-4,40.994,4.099
449,2.399,3.01,ETAD-0005-5,46.243,4.624
450,2.493,2.809,ETAD-0006-6,41.126,4.113
451,,,ETAD-0007-7,,
452,2.012,2.596,ETAD-0008-8,41.866,4.187
453,1.347,1.026,ETAD-0033-1,28.086,2.809
454,1.779,1.446,ETAD-0034-2,35.887,3.589
455,3.598,5.769,ETAD-0035-3,51.549,5.155
456,2.05,2.186,ETAD-0036-4,39.32,3.932
458,1.725,1.873,ETAD-0038-6,34.417,3.442
459,,,ETAD-0039-7,,
460,1.886,1.647,ETAD-0040-8,38.536,3.854
3956,4.363,8.064,ETAD-0249-1,61.645,6.164
3957,2.133,3.548,ETAD-0250-2,36.916,3.692
3958,2.127,3.736,ETAD-0251-3,36.314,3.631
3959,1.909,3.718,ETAD-0252-4,42.115,4.212
3960,2.024,3.222,ETAD-0253-5,37.112,3.711
3961,2.323,4.038,ETAD-0254-6,43.261,4.326
3962,,,ETAD-0255-7,,
3963,2.978,5.383,ETAD-0256-8,68.18,6.818
3964,3.091,5.538,ETAD-0257-1,53.175,5.317
3965,3.023,4.559,ETAD-0258-2,58.144,5.814
3966,2.659,4.117,ETAD-0259-3,51.146,5.115
3967,1.447,1.093,ETAD-0260-4,31.718,3.172
3968,3.027,5.231,ETAD-0261-5,58.301,5.83
3969,2.25,3.612,ETAD-0262-6,51.035,5.104
3970,,,ETAD-0263-7,,
3971,3.317,3.794,ETAD-0264-8,69.799,6.98
3972,1.572,2.035,ETAD-0265-1,37.415,3.741
3973,1.519,1.991,ETAD-0266-2,30.626,3.063
3974,1.403,1.795,ETAD-0267-3,26.041,2.604
3975,1.757,2.322,ETAD-0268-4,38.209,3.821
3976,2.257,3.27,ETAD-0269-5,35.686,3.569
3977,2.211,3.481,ETAD-0270-6,40.565,4.057
3978,,,ETAD-0271-7,,
3979,2.619,2.085,ETAD-0272-8,50.477,5.048
3980,3.222,4.699,ETAD-0273-1,47.612,4.761
3981,1.435,1.902,ETAD-0274-2,30.296,3.03
3982,2.774,4.252,ETAD-0275-3,36.021,3.602
3983,2.95,4.899,ETAD-0276-4,52.564,5.256
3984,2.864,4.42,ETAD-0277-5,56.17,5.617
3985,4.542,7.328,ETAD-0278-6,61.575,6.157
3986,,,ETAD-0279-7,,
3987,3.382,4.669,ETAD-0280-8,72.541,7.254
3988,5.918,10.725,ETAD-0281-1,60.128,6.013
3989,6.214,12.217,ETAD-0282-2,66.555,6.655
3990,5.239,10.258,ETAD-0283-3,53.398,5.34
3991,5.267,10.646,ETAD-0284-4,57.24,5.724
3992,3.849,7.335,ETAD-0285-5,46.842,4.684
3992,3.805,7.299,ETAD-0285-5,46.842,4.684
3993,5.442,10.59,ETAD-0286-6,55.79,5.579
3994,,,ETAD-0287-7,,
3995,5.003,10.815,ETAD-0288-8,86.605,8.661
4148,2.211,3.249,ETAD-0297-1,40.691,4.069
4149,2.34,4.253,ETAD-0298-2,46.3,4.63
4150,1.64,2.783,ETAD-0299-3,38.84,3.884
4151,1.9,4.099,ETAD-0300-4,42.836,4.284
4152,2.361,4.723,ETAD-0301-5,49.184,4.918
4153,1.479,1.896,ETAD-0302-6,30.672,3.067
4154,,,ETAD-0303-7,,
4155,2.485,4.551,ETAD-0304-8,50.044,5.004
4156,2.427,3.203,ETAD-0305-1,34.711,3.471
4157,2.954,4.394,ETAD-0306-2,33.948,3.395
4158,3.892,5.997,ETAD-0307-3,54.707,5.471
4159,5.04,7.506,ETAD-0308-4,65.949,6.595
4160,3.061,4.469,ETAD-0309-5,45.009,4.501
4161,3.397,2.876,ETAD-0310-6,34.634,3.463
4162,,,ETAD-0311-7,,
4163,2.004,2.716,ETAD-0312-8,41.782,4.178
4460,4.055,6.675,ETAD-0313-1,,
4461,1.953,2.871,ETAD-0314-2,,
4462,1.648,2.13,ETAD-0315-3,,
4460,3.882,6.294,ETAD-0313-1,,
4463,2.384,4.254,ETAD-0316-4,,
4464,1.937,3.445,ETAD-0317-5,,
4465,1.509,1.883,ETAD-0318-6,,
4466,,,ETAD-0319-7,,
4467,1.699,2.122,ETAD-0320-8,,
4468,2.07,4.144,ETAD-0321-1,,
4469,2.076,4.198,ETAD-0322-2,,
4470,1.994,3.13,ETAD-0323-3,,
4471,2.447,3.386,ETAD-0324-4,,
4472,1.485,2.148,ETAD-0325-5,,
4473,2.075,3.702,ETAD-0326-6,,
4474,,,ETAD-0327-7,,
4475,1.129,1.914,ETAD-0328-8,,
