MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
3184,8.985,4.9556,-6.9371,10.8945,-9.4795,6.8098
3185,9.732,5.3665,-7.0797,11.5979,-11.4091,7.6179
3186,3.8576,2.673,-9.5244,4.5423,-14.9623,3.7398
3187,7.6345,4.6243,-8.3153,8.9431,-14.0332,6.5397
3188,12.0295,6.4816,-4.4692,14.4616,-7.3241,9.0626
3189,8.0295,4.8242,-6.7534,10.1174,-8.9003,6.8857
3190,10.8756,7.4216,-12.9702,13.9639,4.3484,9.4471
3191,,,,,,
3192,9.7753,5.8057,-62.4273,12.8646,-54.7477,9.0097
445,4.2908,2.2431,-37.8476,6.7416,-12.2298,2.413
446,3.2714,1.2344,-31.1752,4.9853,10.6746,0.1991
447,1.9475,0.6848,-26.3404,2.8503,9.3384,-0.4706
448,2.6423,0.8183,-31.4452,3.6202,13.0458,-0.6131
449,3.0103,1.2502,-26.5642,4.4134,1.7195,0.7055
450,2.8087,1.0633,-31.8091,4.0343,9.5094,-0.1579
451,,,,,,
452,2.596,0.3719,-25.5894,4.184,24.316,-0.995
453,1.0263,0.6767,-25.3205,1.9084,8.7863,-0.4716
454,1.4463,0.7599,-29.2294,2.3067,10.9825,-0.5699
455,5.7686,3.3841,-16.8826,7.3176,-2.8248,3.8408
456,2.1861,1.7033,-18.2588,3.3561,-3.1626,1.4463
458,1.8734,0.4276,-24.4972,3.3019,14.8772,-0.8546
459,,,,,,
460,1.647,1.2283,-21.0546,3.0461,7.0098,0.5263
3956,8.0637,4.8812,-6.7937,9.6123,-8.6541,6.8841
3957,3.5484,2.4471,-6.4784,5.0609,-1.6836,3.3387
3958,3.7359,2.3177,-8.3317,4.7178,-9.0117,3.2114
3959,3.7181,1.9376,-6.9197,5.4972,-1.4742,3.1453
3960,3.2222,2.4627,-4.7968,4.4002,-4.9467,3.4717
3961,4.0378,2.655,-3.1527,5.347,-5.0605,3.9667
3962,,,,,,
3963,5.3826,3.4151,-50.133,8.9093,-34.2682,5.623
3964,5.5383,3.4639,-12.6221,7.2541,-11.1449,5.1045
3965,4.5594,3.2196,-19.3249,5.8654,-16.7487,4.5031
3966,4.117,2.9531,-14.8476,5.5945,-15.913,4.2235
3967,1.093,1.4157,-16.5035,2.0356,-10.7276,1.7811
3968,5.2309,2.9619,-13.3959,7.1962,-16.5258,4.4589
3969,3.6122,2.0312,-14.0858,5.6111,-9.6822,3.1292
3970,,,,,,
3971,3.7942,2.4746,-83.2061,8.3321,-66.7352,5.0716
3972,2.0354,1.7462,-22.0391,3.7054,-13.2361,2.5397
3973,1.991,1.9209,-20.0617,3.1901,-11.7118,2.4919
3974,1.7954,1.6824,-24.5016,2.9283,-14.9582,2.1944
3975,2.3224,2.2213,-30.2782,3.427,-13.7084,2.6531
3976,3.2705,2.5174,-20.0632,4.1285,-14.2669,3.3407
3977,3.4808,2.6013,-21.6892,4.5413,-13.9454,3.3562
3978,,,,,,
3979,2.0847,2.1465,-100.2513,5.4548,-73.3574,4.3089
3980,4.6988,3.5111,-21.3184,5.755,-16.7981,4.7202
3981,1.9019,1.7878,-28.3999,2.8346,-20.1669,2.3315
3982,4.2524,2.9473,-23.7396,4.995,-17.2025,3.8782
3983,4.8986,3.3379,-27.5224,5.9345,-23.317,4.5121
3984,4.4199,3.0563,-39.6638,5.6512,-28.8524,4.0695
3985,7.3277,5.0434,-22.2715,8.7466,-20.9631,6.7096
3986,,,,,,
3987,4.6689,3.3078,-100.8133,7.5256,-73.8048,5.384
3988,10.7253,6.6465,-10.8237,12.8203,-12.0532,9.0593
3989,12.2174,6.8605,-10.375,14.2554,-14.7664,9.4747
3990,10.258,5.6943,-7.2935,12.1094,-13.6034,7.8879
3991,10.6458,5.8432,-14.3823,12.7508,-15.1008,8.2075
3992,7.3353,4.3654,-13.4054,8.5684,-11.0467,5.8834
3992,7.2985,4.3482,-15.2359,8.5114,-13.3405,5.9269
3993,10.5898,5.7866,-4.0167,12.3179,-11.9604,8.0592
3994,,,,,,
3995,10.815,5.9349,-79.4738,13.7833,-52.0994,8.5557
4148,3.2489,2.1039,-8.5346,5.3637,6.5684,2.9306
4149,4.2526,1.7234,-10.0794,6.143,0.0512,2.7371
4150,2.7832,1.1557,-9.3534,5.0027,7.6581,1.9126
4151,4.099,1.4182,-5.2177,6.6176,10.2161,2.4746
4152,4.7225,2.048,-9.4708,6.7573,1.6535,3.2208
4153,1.8958,1.3449,-12.0511,3.0546,-3.6111,1.7703
4154,,,,,,
4155,4.5514,2.1248,-10.4777,6.4469,-8.1402,3.397
4156,3.2026,2.4313,-13.2102,4.4319,-8.3706,3.1608
4157,4.3939,2.2888,18.4986,6.4729,5.6717,3.1795
4158,5.9969,3.9513,-17.7398,7.1413,-11.6148,5.2833
4159,7.5058,4.9972,-18.9343,8.5943,-28.3008,7.3297
4160,4.469,2.9747,-12.087,5.556,-7.519,3.8672
4161,2.8763,2.415,6.3596,4.4016,-2.8818,2.6266
4162,,,,,,
4163,2.7161,1.9121,-16.2488,4.25,-8.4258,2.7343
4460,6.6752,3.6062,-19.1218,9.0185,-20.4468,5.1518
4461,2.871,1.8965,-12.8497,3.8473,-10.2617,2.5941
4462,2.1299,1.4274,-19.4792,3.4366,-7.7216,1.8141
4460,6.2936,3.6055,-23.2178,8.7219,-23.2075,5.0443
4463,4.2539,2.2259,-16.8373,6.2236,-11.9728,3.359
4464,3.4454,2.0547,-23.6957,5.4773,-7.6871,2.9767
4465,1.8832,1.2735,-29.0745,3.3856,-22.2943,2.0045
4466,,,,,,
4467,2.1223,1.4024,-31.8467,4.1201,-23.1076,2.2592
4468,4.1442,1.931,-13.9776,6.2869,-10.9409,3.2602
4469,4.1976,2.0049,-13.2799,6.2961,-9.2201,3.2333
4470,3.13,1.6534,-18.7493,4.9882,-8.8237,2.4422
4471,3.3855,1.8467,-36.9813,5.6062,-26.6551,2.6129
4472,2.1478,1.2084,-24.952,3.5677,-16.821,1.8204
4473,3.7017,1.777,-22.0442,5.9372,-5.6473,2.8438
4474,,,,,,
4475,1.9142,1.0004,-16.5016,3.4163,-6.022,1.5853
