MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
3042,10.0736,31.7819,55.5317,59.5969,62.2415,55.6378
3043,10.3284,32.7558,52.7005,59.2433,61.0181,48.9408
3044,11.1172,28.9293,51.8563,59.8877,59.1203,47.3693
3045,5.8581,24.6545,43.6112,47.7694,47.745,33.8818
3046,3.4904,20.008,35.8516,38.0271,39.1793,30.1307
3047,-5.1534,-4.6179,-0.0002,-0.4715,-0.0272,-0.529
3048,3.5379,19.533,34.2369,37.4438,40.7259,35.6287
3161,16.3926,58.5297,79.0235,87.7689,85.7214,50.7074
3162,9.604,34.9448,50.6036,56.3152,55.1666,30.7056
3163,12.6218,41.858,71.1208,81.3551,76.6468,50.3943
3161,16.1162,57.3998,77.9059,87.2694,84.462,49.2456
3164,8.8162,20.8488,32.3564,35.1747,33.4352,23.6127
3165,20.7395,70.671,96.521,106.3372,103.5929,75.3979
3166,13.0433,49.8292,74.3701,82.8304,82.1989,57.5171
3167,-3.3094,-1.4151,2.9453,1.5528,3.0047,2.6926
3168,9.3802,39.7496,60.536,64.459,61.2006,40.5339
3169,12.456,42.6041,67.3601,72.4967,70.611,49.439
3170,18.3295,62.0011,84.2104,93.8219,91.2639,68.4261
3171,15.3958,54.6352,76.1808,84.5096,82.041,58.0166
3172,5.0008,25.2038,45.809,49.2038,49.2098,41.296
3173,14.3132,72.6657,103.9128,110.706,110.5027,87.3193
3174,13.846,67.761,98.3646,104.5895,106.6096,88.1661
3175,-3.5228,-2.1083,1.5487,0.1861,0.616,0.2945
3176,14.9677,62.5305,90.8134,95.8317,95.0716,74.8523
3177,13.9232,60.6728,90.9147,97.1665,97.9772,75.7757
3178,11.0101,44.4195,67.9164,73.9373,73.5218,53.1015
3179,8.4215,36.3589,59.0804,63.8388,63.7995,41.5736
3180,3.3406,22.9821,40.3211,43.1441,44.3828,34.8422
3181,5.0216,23.6935,40.8549,45.5079,45.503,32.08
3182,11.4898,52.4697,79.8589,87.0254,87.7495,60.9368
3183,-3.2388,-1.5605,4.0126,3.3966,4.5304,5.7606
3184,8.9024,42.8719,64.7467,68.4394,69.8013,53.4671
3185,8.6841,43.2575,68.0532,74.3327,76.5922,63.9816
3186,3.47,14.4569,28.1344,30.7495,32.1365,25.033
3187,8.4597,32.3568,53.6608,59.7625,60.5327,47.4027
3188,14.0515,54.5009,82.2522,91.9961,94.4664,78.1879
3189,10.4599,39.133,56.7121,63.5871,64.1999,53.9044
3190,20.5718,59.667,71.6338,79.2818,74.7717,64.2258
3191,-3.2084,-1.6332,2.7055,2.7294,2.8115,2.0852
3192,1.3734,11.0116,18.8813,22.0225,23.9721,20.0673
445,10.4743,30.6715,24.3401,33.4699,34.0703,30.418
446,7.6924,36.2306,21.6008,29.1348,25.8007,14.4361
447,6.7615,29.9367,13.5432,18.2911,16.3792,3.499
448,8.8114,36.5481,18.5264,24.7582,20.6739,7.7534
449,5.6622,31.2009,20.8206,26.1793,24.5662,11.9303
450,9.3034,38.0585,20.0345,25.716,20.8313,7.7798
451,0.5571,16.9968,-1.7911,-0.1955,-6.2769,-13.8105
452,10.2911,38.2056,16.328,23.8638,20.4042,3.4842
453,5.0043,22.6702,6.1209,11.8782,10.9138,6.4201
454,6.9042,29.9064,9.7199,14.6629,14.4703,9.8088
455,6.7776,35.9958,37.1014,47.082,49.0243,39.6034
456,2.6143,22.0205,14.2317,19.3719,20.0129,14.2788
458,6.7002,31.1296,12.1768,18.4484,14.3762,5.7247
459,-1.0675,13.4914,-1.8875,1.0798,-1.9466,-5.7555
460,5.8993,24.9345,9.6671,15.5098,18.2304,11.8306
3956,9.5889,36.8947,56.0301,64.3476,66.7245,51.3034
3957,6.2975,20.3937,24.083,29.0501,35.0632,28.8322
3958,2.1535,17.3387,25.8489,29.9247,34.7348,28.0451
3959,4.8483,17.107,23.224,31.0983,36.6967,30.0634
3960,5.7371,16.753,22.0223,26.4478,30.0578,27.0641
3961,7.8515,18.5919,27.2367,31.6921,35.0364,28.6809
3962,-4.1594,-4.3123,-0.2964,0.9952,1.8069,2.6138
3963,1.1304,5.211,8.794,12.924,15.8788,12.4614
3964,9.54,24.4974,36.8384,43.5745,46.7454,39.5001
3965,7.3001,21.5402,33.6858,35.6153,39.9647,36.2229
3966,4.4389,17.4078,28.0908,29.957,34.2197,30.8997
3967,4.2706,9.1707,9.4224,9.4364,13.3825,11.3611
3968,6.0056,23.0069,37.7074,41.0205,43.9431,32.3761
3969,6.3512,17.5339,25.1388,28.8209,34.2273,26.3622
3970,-3.9651,-4.3413,0.9475,-0.8153,0.3975,1.434
3971,0.9512,4.336,6.8406,8.6635,12.9635,11.8364
3972,3.5292,10.0555,14.3769,16.4344,20.9374,18.6745
3973,3.7018,10.4292,14.4102,15.9894,20.3006,16.1797
3974,3.094,8.8006,13.1109,13.3152,18.5813,16.6555
3975,5.4243,12.2783,16.1132,18.8044,24.0735,22.2355
3976,5.4925,14.9806,23.6639,24.5482,27.7527,22.2199
3977,2.8812,16.6025,25.0402,26.6796,32.2676,29.4277
3978,-1.8823,-2.6396,0.5403,-1.4745,-0.593,0.2714
3979,-0.6822,2.4554,2.3572,4.2507,7.5622,8.6411
3980,4.5169,23.6451,35.9746,37.8504,38.9173,29.2733
3981,1.3254,6.826,14.495,15.7461,19.9633,18.4381
3982,2.7175,20.7071,32.0501,34.2629,37.3974,29.2499
3983,5.425,19.1563,36.2033,39.6708,42.0942,36.9975
3984,5.0778,18.3011,34.2126,36.67,40.1559,36.7021
3985,9.6311,33.3476,53.8747,59.6416,59.0962,47.2248
3986,-5.801,-4.4137,-1.0118,-1.6523,-1.1768,-1.2419
3987,0.7124,4.5371,7.0752,10.4721,13.303,12.3259
3988,14.169,49.2413,73.2084,83.6398,84.6804,65.3646
3989,17.6845,50.9635,81.8677,94.0137,95.7913,74.9522
3990,11.6655,43.389,69.3853,78.1157,80.9125,66.2021
3991,13.7658,43.8405,70.2608,80.509,81.9223,64.6661
3992,11.451,30.7911,48.3632,55.9288,57.3529,46.1209
3992,10.0192,29.5687,47.6952,56.222,57.5076,45.9298
3993,12.2306,45.1804,70.7002,80.4547,82.7188,63.6916
3994,-5.1868,-3.2915,0.9223,2.1348,4.1915,2.8659
3995,3.4893,10.8372,18.6697,26.9287,28.2143,25.5873
4148,11.7835,24.3383,22.0364,28.6271,33.5693,27.9461
4149,8.4341,24.8924,29.2279,36.0108,41.4282,27.4831
4150,8.6318,20.2351,17.7376,25.6669,32.5505,24.5469
4151,10.5638,23.8046,25.3145,36.2159,44.7066,32.5302
4152,10.4846,25.0067,30.997,40.3241,45.4003,30.2733
