# File Updated: 2025-07-29
# Data version 3.0
# Site: Pasadena, United States
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28922,Strontium PM2.5,-0.19,Nanograms per cubic meter (ng/m3),0.0031,0.0032,0.002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28916,Cadmium PM2.5,0.29,Nanograms per cubic meter (ng/m3),0.0083,0.0092,0.0056,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28914,Selenium PM2.5,0.05,Nanograms per cubic meter (ng/m3),0.0005,0.0005,0.0003,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28926,Tin PM2.5,-1.78,Nanograms per cubic meter (ng/m3),0.0259,0.0297,0.0181,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28202,BC PM2.5,0.56,Micrograms per cubic meter (ug/m3),,,,221,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,HIPS,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28203,EC PM2.5,0.48,Micrograms per cubic meter (ug/m3),,0.0554193899782135,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28203,EC PM2.5,0.06,Micrograms per cubic meter (ug/m3),,0.0554193899782135,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28204,OC PM2.5,2.15,Micrograms per cubic meter (ug/m3),,0.11764705882352941,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28204,OC PM2.5,0.12,Micrograms per cubic meter (ug/m3),,0.11764705882352941,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0299,2023,10,12,9.0,2023,10,13,9.0,24.0,28205,OM PM2.5,2.6,Micrograms per cubic meter (ug/m3),,,,218,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,
